,text,rhyme_scheme_siamese,difference_siamese,prob_rhyme
12,"['liebe mutter dein bett war leer in der nacht', 'deine mutter hat oben auf dem blocksberg gewacht']","['a', 'a']","[[array([0.0628292], dtype=float32)]]",0.5
13,"['du starker tod führ mich hinan', 'zum geisterlande droben', 'die mir von gott gewies ne bahn', 'zog ich die stirn erhoben', 'was ich gegeben gott war dein', 'mein reichthum war mein träumen', 'nur wenig that ich sang darein', 'wie vöglein auf den bäumen']","['a', 'b', 'a', 'b', 'c', 'd', 'c', 'd']","[[array([0.4368112], dtype=float32)], [array([0.0303086], dtype=float32)], [array([0.08561456], dtype=float32)], [array([0.01587027], dtype=float32)]]",0.5
14,"['leb wohl du rose frisch und roth', 'lebt wohl ihr meine lieben', 'führ mich hinan du starker tod', 'obgleich ich gern geblieben', 'hab dank o gott für all dein gut', 'für alle künft gen zeiten', 'nun stürme tod durch zeitenfluth', 'zu ew gen sommerfreuden']","['a', 'b', 'a', 'b', 'a', 'c', 'a', 'c']","[[array([0.43946505], dtype=float32), array([0.52652824], dtype=float32), array([0.18639094], dtype=float32), array([0.46775115], dtype=float32), array([0.46958238], dtype=float32), array([0.45231527], dtype=float32)], [array([0.0157913], dtype=float32)], [array([0.15652758], dtype=float32)]]",0.375
15,"['im städtchen giebt es des jubels viel', 'da halten sie hochzeit mit tanz und mit spiel', 'den fröhlichen blinket der wein so roth', 'die braut nur gleicht dem getünchten tod']","['a', 'a', 'b', 'b']","[[array([0.01591724], dtype=float32)], [array([0.43946505], dtype=float32)]]",0.5
16,"['ja todt für den den nicht sie vergißt', 'der doch beim fest nicht bräutigam ist', 'da steht er inmitten der gäste im krug', 'und streichet die geige lustig genug']","['a', 'a', 'b', 'b']","[[array([0.53839815], dtype=float32)], [array([0.33560395], dtype=float32)]]",0.5
17,"['er streichet die geige sein haar ergraut', 'es springen die saiten gellend und laut', 'er drückt sie ans herz und achtet es nicht', 'ob auch sie in tausend stücke zerbricht']","['a', 'a', 'b', 'b']","[[array([0.09512925], dtype=float32)], [array([0.03840679], dtype=float32)]]",0.5
18,"['es ist gar grausig wenn einer so stirbt', 'wann jung sein herz um freude noch wirbt', 'ich mag und will nicht länger es seh n', 'das möchte den kopf mir schwindelnd verdreh n']","['a', 'a', 'b', 'b']","[[array([0.02001244], dtype=float32)], [0]]",0.5
19,"['wer heißt euch mit fingern zeigen auf mich', 'o gott bewahr uns gnädiglich', 'daß keinen der wahnsinn übermannt', 'bin selber ein armer musikant']","['a', 'a', 'b', 'b']","[[array([0.06670862], dtype=float32)], [array([0.3290677], dtype=float32)]]",0.5
20,"['stirne eine feste wand', 'da logirt der herr verstand', 'der wird lernen und studiren', 'daß sie einst dich respectiren', 'vornehm sitzt er in dem hirn', 'hinter dieser hohen stirn']","['a', 'a', 'b', 'b', 'c', 'c']","[[array([0.04431355], dtype=float32)], [array([0.06745422], dtype=float32)], [array([0.03579265], dtype=float32)]]",0.5
21,"['augenstern wie hell und klar', 'zweie glaub ich hast du gar', 'heller unter deiner braue', 'blickst du jetzt bei gott ich schaue', 'tief dir in des herzens kern', 'du mein süßer augenstern']","['a', 'a', 'b', 'b', 'c', 'c']","[[array([0.12813658], dtype=float32)], [array([0.05484533], dtype=float32)], [array([0.08579242], dtype=float32)]]",0.5
22,"['nasengipfel rößlein fein', 'brille soll der reiter sein', 'weiß die brille nicht die straße', 'folgt sie ganz getrost der nase', 'ei welch kleiner runder schnüpfel', 'unser roß heißt nasengipfel']","['a', 'a', 'b', 'b', 'c', 'c']","[[array([0.04944515], dtype=float32)], [array([0.29452145], dtype=float32)], [array([0.05969542], dtype=float32)]]",0.5
23,"['mäulchen wie ein kirschenpaar', 'du bist frisch und süß nicht wahr', 'ist s gewiß auch daß die weißen', 'schelmenzähnchen mich nicht beißen', 'kleiner gieb ein küßchen mir', 'wipp ich stehl s vom mäulchen dir']","['a', 'a', 'b', 'b', 'c', 'c']","[[array([0.1384154], dtype=float32)], [array([0.00720543], dtype=float32)], [array([0.12747228], dtype=float32)]]",0.5
24,"['kinn du zipfel angesetzt', 'ans gesicht du kommst zuletzt', 'doch ein schelm muß ich gewahren', 'kommt im grübchen da gefahren', 'flugs geht s über n nasengipfel', 'mäulchen zu des kinnes zipfel']","['a', 'a', 'b', 'b', 'c', 'c']","[[array([0.07623893], dtype=float32)], [array([0.00366032], dtype=float32)], [array([0.03340542], dtype=float32)]]",0.5
25,"['krible krable krible will', 'wohl der kleine sitzen still', 'soll ich nicht den wicht entdecken', 'der sich will da drin verstecken', 'siehst du daß ich jetzt ihn hab', 'krible krable krible krabb']","['a', 'a', 'b', 'b', 'c', 'd']","[[array([0.0388667], dtype=float32)], [array([0.02807224], dtype=float32)]]",0.6666666666666666
26,"['das gothisch alte kronburg erglänzt im mondenlicht', 'am festungswalle schäumend die dunkle fluth sich bricht']","['a', 'a']","[[array([0.08129954], dtype=float32)]]",0.5
27,"['wie schwäne gleiten schiffe hin auf des sundes well', 'von helsingborg her schimmert einsam ein lichtstrahl hell']","['a', 'a']","[[array([0.00620979], dtype=float32)]]",0.5
28,"['still schlummert dänmarks küste in ihrer wälderpracht', 'doch pechschwarz ragt der kullen in sternenheller nacht']","['a', 'a']","[[array([0.04624325], dtype=float32)]]",0.5
29,"['in kronburg klingen becher im alten rittersaal', 'ein freundeskreis vereinte sich hier zum frohen mahl']","['a', 'a']","[[array([0.19563341], dtype=float32)]]",0.5
30,"['sie jubeln bei der bowle mit starkem punsch gefüllt', 'ernst blickt auf das gelage manch bleiches heldenbild']","['a', 'a']","[[array([0.3108173], dtype=float32)]]",0.5
31,"['auf holger kommt die rede als mitternacht erscholl', 'der in den kasematten der veste wohnen soll']","['a', 'a']","[[array([0.06957436], dtype=float32)]]",0.5
32,"['und haus t er drin dann ist es doch wahrlich eine schmach', 'daß dort ihn zu besuchen uns stets der muth gebrach']","['a', 'a']","[[array([0.11358893], dtype=float32)]]",0.5
33,"['kommt laßt uns heut ihn suchen und finden wir ihn nicht', 'dann schmach dem müß gen barden der s kund that im gedicht']","['a', 'a']","[[array([0.06708664], dtype=float32)]]",0.5
34,"['der eine sprach s und eh noch sein wort verhallet war', 'hat sich zum kecken zuge geordnet schon die schaar']","['a', 'a']","[[array([0.1858393], dtype=float32)]]",0.5
35,"['die rost gen angeln knarren es brennt die fackel roth', 'tief in den öden gängen herrscht finsterniß und tod']","['a', 'a']","[[array([0.43946505], dtype=float32)]]",0.5
36,"['dumpf schallet am verfall nen gemäuer jeder tritt', 'und fledermäuse flattern gescheucht von ihrem schritt']","['a', 'a']","[[array([0.03759259], dtype=float32)]]",0.5
37,"['die eisenpforten knarren matt strahlt der fackel schein', 'sie drohet zu verlöschen man schlägt sie an den stein']","['a', 'a']","[[array([0.0380531], dtype=float32)]]",0.5
38,"['schon kühlt die luft des grabes das heiße jugendblut', 'gleichzeitig wird auch kühler der jugend uebermuth']","['a', 'a']","[[array([0.47949034], dtype=float32)]]",0.5
39,"['und jede kasematte durchspähte schon ihr blick', 'jetzt öffnen sie die letzte und beben scheu zurück']","['a', 'a']","[[array([0.45067877], dtype=float32)]]",0.5
40,"['das haupt auf nerv ger rechte gestützt sitzt dort ein greis', 'in der gewölbten kammer die bursche nahen leis']","['a', 'a']","[[array([0.06895101], dtype=float32)]]",0.5
41,"['sieh durch den steintisch wuchs schon der bart sonst schien es fast', 'als wäre dies das antlitz von ihm', 'christian iv bezieht sich auf eine stelle in einem dänischen volksliede könig christian stand am hohen mast am hohen mast']","['a', 'b', 'a']","[[array([0.07201797], dtype=float32)]]",0.6666666666666666
42,"['das schwerdt in seiner rechten im eisenkleid er sitzt', 'hoch wölbt sich seine stirne sein heldenauge blitzt']","['a', 'a']","[[array([0.02896076], dtype=float32)]]",0.5
43,"['halb wie im traume spricht er der bange haufe hört s', 'wie geht s in meinem dänmark bedarf es meines schwerdts']","['a', 'a']","[[array([0.34693187], dtype=float32)]]",0.5
44,"['reich jüngling mir die rechte daß ich am druck der hand', 'erkennen kann ob mannskraft noch wohnt im dänenland']","['a', 'a']","[[array([0.06940258], dtype=float32)]]",0.5
45,"['und schnell reicht ihm der jüngling die eisenstang der thür', 'vor holger s riesendrucke biegt sich das eisen schier']","['a', 'a']","[[array([0.23578686], dtype=float32)]]",0.5
46,"['gut spricht er das geschlechte ist schwach doch nicht zur zeit', 'und holger kommt zur hülfe wenn euch gefahr bedräu t']","['a', 'b']",[],1.0
47,"['die bursche schleichen schweigend von ihm hinweg und sacht', 'erst draußen wieder athmen sie frei in stiller nacht']","['a', 'a']","[[array([0.04626191], dtype=float32)]]",0.5
48,"['wo hell die sterne funkeln am blauen himmelsrund', 'und weiße wogen schäumen hin durch den schwarzen sund']","['a', 'a']","[[array([0.09712499], dtype=float32)]]",0.5
49,"['mir fehlt etwas wie sag ich was ich meine', 'so was besondres ist es eben nicht', 'mir fehlt nun ja nur eine hübsche kleine', 'ach gott jetzt lacht man mir noch in s gesicht', 'darf ich denn niemals schwärmen niemals lieben', 'wie bin ich denn nicht alt genug dazu', 'ich will ja niemand kränken noch betrüben', 'nein lieben möcht ich nur in guter ruh']","['a', 'b', 'a', 'b', 'c', 'd', 'c', 'e']","[[array([0.00940323], dtype=float32)], [array([0.07063884], dtype=float32)], [array([0.15884364], dtype=float32)]]",0.625
50,"['ein jeder dichter ja selbst jeder laie', 'hat eine braut es ist nun so der brauch', 'man seufzt man spricht von ew ger lieb und treue', 'dies alles will ich nun versuchen auch', 'fort gäb ich gern mein herz als gute beute', 'nur fehlt zum lieben mir ein gegenstand', 'für meine lieder schwärmt ich nur bis heute', 'doch für ein mädchen wär doch gar charmant']","['a', 'b', 'a', 'b', 'c', 'd', 'c', 'd']","[[array([0.4722563], dtype=float32)], [array([0.00640011], dtype=float32)], [array([0.00857645], dtype=float32)], [array([0.08878249], dtype=float32)]]",0.5
51,"['d rum wünsch ich mir wie sag ich was ich meine', 'ein liebchen dann beruhigt sich mein sinn', 'nur eine gute liebe wenn auch', 'kleine', 'denn meine größe reicht für beide hin', 'o säh doch eine gnädig auf mich nieder', 'denn liebe steht den leuten gar zu gut', 'doch loben mußt du alle meine lieder', 'sonst ist es aus mit meiner liebesgluth']","['a', 'b', 'c', 'a', 'b', 'd', 'c', 'd', 'c']","[[array([0.00940323], dtype=float32)], [array([0.5266997], dtype=float32)], [array([0.46804887], dtype=float32), array([0.4465996], dtype=float32), array([0.5480139], dtype=float32)], [array([0.00959998], dtype=float32)]]",0.4444444444444444
52,"['amor der schalk man kennt ihn weit und breit', 'und hat ihn wie ein kind abconterfeit', 'mit pfeil und bogen und mit großen schwingen', 'wie eine fabel scheint das ja zu klingen', 'wer glaubte je daß er so angethan', 'nein gott bewahre er hat kleider an', 'und wo er wen zu neuem bund verpflichtet', 'hat er sein kleid stets darauf eingerichtet', 'die mädchen sehen ihn am liebsten hier', 'gekleidet als student und officier', 'und diese nun das kann ein kind verstehen', 'als mädchen ihn am allerliebsten sehen', 'von kopf zu fuß und jeden augenblick', 'ist er ein dieb der längst verdient den strick', 'als ich zum ersten male ihn entdeckte', 'war ich ein knäblein das noch in dem jäckchen steckte', 'mit andern buben spielt ich da versteck', 'ein rosenstrauch wuchs an der gartenheck', 'ich kroch hinein und saß ganz still darinnen', 'mich findet niemand wie sie s auch beginnen', 'da seh ich plötzlich nachbars lieschen hier', 'und unsern gast den hübschen officier', 'nicht weiß ich was sie sprachen und beschickten', 'doch sah ich wie die rosen alle nickten', 'und mitten in der einen auf die flur', 'hinüberhängend leute denkt s euch nur', 'da saß ein officierchen nichts geringer', 'wie wunderlich doch groß kaum wie ein finger', 'mit schnurrbart säbel mütze ja fürwahr', 'der war dem andern ähnlich auf ein haar', 'die rose sah ich schwanken in dem winde', 'und lieschens wange treffen gar geschwinde', 'der große officier brach nun das röschen ab', 'doch lieschen wurde roth als er es jetzt ihr gab', 'schnell flog ein schmetterling heraus mit bunten schwingen', 'der amor war s und winkt vor allen dingen', 'mir zu was ich erschaut nicht zu gestehn', 'es ward geküßt und ich hatt es gesehn', 'wir trafen uns seitdem gar oft wir beide', 'bald trug er bauerntracht bald reiche seide', 'doch selbst nun älter wurd ich schnell gewahr', 'daß was er that so fein nicht eben war', 'darum gelobt ich mir was mir auch würd geschehen', 'mich solle nie der schelm in seinen händen sehen', 'das schwur ich laut ich ging just in s examen', 'zum pfarrer hört wie doch die dinge anders kamen', 'in unser m dorfe bei des pfarrers haus', 'da breiten sich die haselbüsche aus', 'am boden erdbeerpflanzen welch gewimmel', 'heut kam ich hin hoch war die sonn am himmel', 'tief in den büschen dort ein bauerknabe stand', 'der sich erdbeeren pflückte was er fand', 'auf einen grashalm zog ich pflückte selbst und aß', 'der kleine zeigte mir wie voll sein gras', 'und da ich an dem anblick mich geweidet', 'wird s mir als ob man mir das herz zerschneidet', 'mir war ganz wunderlich er lacht laut in die luft', 'der bauerknabe war der kleine schuft', 'nicht beeren hatte er bewahre nein', 'auf seinem grashalm lauter herzchen klein', 'das sah ich nun und unter diesen herzen', 'mein armes eig nes herz mit tausend schmerzen', 'ich lugte weinte bat er lacht mich aus', 'ich brachte nichts als ja von ihm heraus', 'sieh diese herzen wurden heut mein eigen', 'deins ist das letzte laß mich dir es zeigen', 'am hellsten lacht er als er sprach dies wort', 'der arge schalk und lief dann eilig fort', 'ich lief so gut ich konnte hinterdrein', 'und fing aus vollem halse an zu schrein', 'doch ich verlor ihn rasch aus dem gesicht', 'nun denk ich mir nun zieht der bösewicht', 'von thür zu thür mit den gestohl nen herzen', 'und was mich muß am allertiefsten schmerzen', 'mich bietend dieser oder jener feil', 'nun muß ich auch eins stehlen für mein theil', 'wenn mir nicht eine will das ihre geben', 'denn ohne herz da kann ich ja nicht leben']","['a', 'a', 'b', 'c', 'd', 'd', 'e', 'e', 'f', 'g', 'h', 'h', 'i', 'i', 'j', 'j', 'k', 'k', 'l', 'l', 'f', 'g', 'm', 'm', 'n', 'n', 'o', 'o', 'p', 'p', 'q', 'q', 'r', 'r', 'b', 'c', 's', 's', 't', 't', 'p', 'p', 'h', 'h', 'u', 'u', 'v', 'v', 'w', 'w', 'x', 'x', 'r', 'p', 'y', 'y', 'z', 'z', '{', '{', '|', '}', 'v', 'v', '~', '~', '\x7f', '\x7f', '{', '{', '\x80', '\x80', '|', '}', '\x81', '\x81', '\x82', '\x82']","[[array([0.09066969], dtype=float32)], [0], [array([0.01850122], dtype=float32)], [array([0.09386343], dtype=float32)], [array([0.04553741], dtype=float32)], [0], [0], [array([0.02279246], dtype=float32), array([0.], dtype=float32), array([0.03709245], dtype=float32), array([0.02279246], dtype=float32), array([0.03150111], dtype=float32), array([0.03709245], dtype=float32)], [array([0.18126357], dtype=float32)], [array([0.00910544], dtype=float32)], [array([0.11027342], dtype=float32)], [array([0.03211451], dtype=float32)], [array([0.04953092], dtype=float32)], [array([0.22154915], dtype=float32)], [array([0.01317674], dtype=float32)], [array([0.3394212], dtype=float32), array([0.59789395], dtype=float32), array([0.0456183], dtype=float32), array([0.14984775], dtype=float32), array([0.23367834], dtype=float32), array([0.29677224], dtype=float32), array([0.15346628], dtype=float32), array([0.6007109], dtype=float32), array([0.32838017], dtype=float32), array([0.12669373], dtype=float32)], [array([0.00951064], dtype=float32)], [array([0.10589248], dtype=float32), array([0.06760806], dtype=float32), array([0.185785], dtype=float32)], [array([0.05248278], dtype=float32)], [array([0.0071646], dtype=float32)], [array([0.02111739], dtype=float32)], [array([0.07182521], dtype=float32), array([0.00625694], dtype=float32), array([0.], dtype=float32), array([0.08659357], dtype=float32), array([0.07182521], dtype=float32), array([0.00625694], dtype=float32)], [array([0.00481617], dtype=float32)], [array([0.06846708], dtype=float32)], [array([0.03491092], dtype=float32)], [array([0.10714406], dtype=float32)], [array([0.10080516], dtype=float32), array([0.10550576], dtype=float32), array([0.10570645], dtype=float32), array([0.06190962], dtype=float32), array([0.04984778], dtype=float32), array([0.046076], dtype=float32)], [array([0.], dtype=float32)], [array([0.], dtype=float32)], [array([0.00244558], dtype=float32)], [array([0.02976853], dtype=float32)], [array([0.04108125], dtype=float32)], [array([0.05394167], dtype=float32)], [array([0.03573596], dtype=float32)]]",0.4358974358974359
53,"['im himmel sitzen die englein klein', 'rund um den großen katheder', 'sie sitzen mit ihren flügelein', 'und blasen als hübsche trompeter', 'doch abends legen sie weg die trompet', 'dies sieht die madonna gerne', 'sie spielen vergnügt nicht whist noch piquet', 'ihr spiel heißt mond und sterne', 'fällt ihnen einmal ein stern aus der hand', 'wirds sternschnuppe hier bei uns genannt']","['a', 'b', 'a', 'b', 'c', 'd', 'c', 'd', 'e', 'e']","[[array([0.07299125], dtype=float32)], [array([0.05606121], dtype=float32)], [array([0.19369626], dtype=float32)], [array([0.01390779], dtype=float32)], [array([0.25876915], dtype=float32)]]",0.5
54,"['im himmel giebts gar hübsche musik', 'klingt alles in herzlichen worten', 'langweilig ists keinen augenblick', 'man fühlt so heimisch sich dorten', 'oft fliegt ein kleiner engelshauf', 'hinab in die irdischen thale', 'bringt schlafende kinderchen mit hinauf', 'zu gott im himmlischen saale', 'manchmal ist darunter auch ein poet', 'der kann dann erzählen wie s oben steht']","['a', 'b', 'c', 'b', 'd', 'e', 'd', 'e', 'f', 'g']","[[array([0.00448269], dtype=float32)], [array([0.19875526], dtype=float32)], [array([0.04503685], dtype=float32)]]",0.7
55,"['gar lustig schwebt man zum himmelszelt', 'hoch über eulen und aaren', 'tief kann man den alten käfig die welt', 'mit bunten vögeln gewahren', 'nett singen die englein rundgesang', 'dazu der sphären geklinge', 'der himmel ist gar so breit und so lang', 'man fühlt sich so klein so geringe', 'der erwachsene wird dort wieder ein kind', 'weil kinder im himmel wir alle sind']","['a', 'b', 'a', 'b', 'c', 'd', 'c', 'd', 'e', 'e']","[[array([0.04046893], dtype=float32)], [array([0.15711415], dtype=float32)], [array([0.10100901], dtype=float32)], [array([0.01642841], dtype=float32)], [array([0.1136595], dtype=float32)]]",0.5
56,"['rosenknospe zart und rund', 'lieblich wie ein mädchenmund', 'küß ich dich als meine braut', 'wirst du schöner stets geschaut', 'laß noch einen kuß dir geben', 'fühl mein beben']","['a', 'a', 'b', 'b', 'c', 'c']","[[array([0.12981582], dtype=float32)], [array([0.08487773], dtype=float32)], [array([0.03198195], dtype=float32)]]",0.5
57,"['ich will beichten wie man s muß', 'nie noch gab ich einen kuß', 'keine maid erwartet mich', 'rose ich muß küssen dich', 'du nur bist mein glück mein leben', 'fühl mein beben']","['a', 'a', 'b', 'b', 'c', 'c']","[[array([0.20210159], dtype=float32)], [array([0.07936388], dtype=float32)], [array([0.00684482], dtype=float32)]]",0.5
58,"['geb ein lied dir wenn du küßt', 'und wenn einst du staub dann bist', 'ruft mein lied dir laut noch zu', 'keine küßte mich nur du', 'hast mir küsse je gegeben', 'fühl mein beben']","['a', 'b', 'c', 'c', 'd', 'd']","[[array([0.21438265], dtype=float32)], [array([0.04626429], dtype=float32)]]",0.6666666666666666
59,"['dänmarks mädchen wenn ich schied', 'sagen wohl bei jedem lied', 'küssen möcht ich ihn dafür', 'schön gesagt was nützt es mir', 'müßt mir d rum bei meinem leben', 'küsse geben']","['a', 'a', 'b', 'b', 'c', 'c']","[[array([0.10137475], dtype=float32)], [array([0.23682076], dtype=float32)], [array([0.03573596], dtype=float32)]]",0.5
60,"['hoch trug ich mein haupt und stolz', 'denn ich war ein edles holz', 'meine kinder starke aeste', 'wohlgewachs ne schlanke feste', 'hatt ein hieb verunglimpft nie', 'sonn und thau nur schlürften sie', 'alles that als mutter ich', 'denn sie sollten mächtig sich', 'heben dacht ich großgezogen', 'fliegen einst auf salz gen wogen', 'maste mit der windesbraut', 'weithin schauend und geschaut', 'doch von dreizehn die s gewesen', 'ward nur einer stiel im besen', 'heckenstäbe wurden drei', 'neun ich sag s mit wehgeschrei', 'nahmen doch das schlimmste ende', 'wurden nichts als feuerbrände']","['a', 'a', 'b', 'b', 'c', 'b', 'd', 'd', 'e', 'e', 'f', 'f', 'g', 'g', 'h', 'h', 'c', 'c']","[[array([0.05827516], dtype=float32)], [array([0.12108016], dtype=float32), array([0.30947447], dtype=float32), array([0.29820526], dtype=float32)], [array([0.02917182], dtype=float32), array([0.2516685], dtype=float32), array([0.17890906], dtype=float32)], [array([0.07609475], dtype=float32)], [array([0.02124387], dtype=float32)], [array([0.06743622], dtype=float32)], [array([0.02592057], dtype=float32)], [array([0.06902742], dtype=float32)]]",0.4444444444444444
61,"['wir müssen über den kirchhof gehn', 'wo im schnee die schwarzen kreuze stehn', 'und die steine im finsteren grunde', 'der alte priester kehrt heim in s haus', 'der mond bricht aus drohenden wolken heraus', 'es schlägt die mitternachtsstunde']","['a', 'a', 'b', 'c', 'c', 'b']","[[array([0.048491], dtype=float32)], [array([0.09597105], dtype=float32)], [array([0.08659357], dtype=float32)]]",0.5
62,"['schon streift die mauer der mondenschein', 'an der thüre steht ein kindlein klein', 'das hat so blasse wangen', 'der alte priester tritt ihm nah', 'wer bist du und was willst du da', 'wie bist du hergegangen']","['a', 'a', 'b', 'c', 'd', 'b']","[[array([0.05732524], dtype=float32)], [array([0.03393298], dtype=float32)]]",0.6666666666666666
63,"['o thu mir nichts o laß mich sein', 'nicht wissen darf es mein mütterlein', 'sonst würde noch mehr sie weinen', 'nein kind dir soll nichts böses geschehn', 'wie blutet die hand dir gieb her laß sehn', 'sag an wer sind die deinen']","['a', 'a', 'b', 'c', 'c', 'b']","[[array([0.08207583], dtype=float32)], [array([0.00291449], dtype=float32)], [array([0.07555014], dtype=float32)]]",0.5
64,"['ach gott wie hab ich geweint so sehr', 'doch darf ich s dir sagen nimmermehr', 'weshalb ich hergekommen', 'weil vater nichts bezahlen kann', 'd rum hat uns alles ein böser mann', 'selbst unsere bibel genommen']","['a', 'a', 'b', 'c', 'c', 'b']","[[array([0.05775607], dtype=float32)], [array([0.03045297], dtype=float32)], [array([0.02020061], dtype=float32)]]",0.5
65,"['und weil wir hunger leiden und noth', 'weint mutter sich die augen roth', 'vor lauter weh und sorgen', 'du armes kind komm her zu mir', 'doch zeige mir das stück papier', 'das du vor mir verborgen']","['a', 'a', 'b', 'c', 'c', 'b']","[[array([0.15255946], dtype=float32)], [array([0.0161584], dtype=float32)], [array([0.32088137], dtype=float32)]]",0.5
66,"['komm gieb es mir ich bin dir gut', 'doch ha was seh ich das ist dein blut', 'was hast du da geschrieben', 'o gott o halt mich nicht für schlecht', 'ich weiß es wohl es ist nicht recht', 'doch hat mich noth getrieben']","['a', 'a', 'b', 'c', 'c', 'b']","[[array([0.31418306], dtype=float32)], [array([0.02771246], dtype=float32)], [array([0.03008276], dtype=float32)]]",0.5
67,"['denn immer weinte mein mütterlein', 'und sagte dann von gott allein', 'kann trost ich noch erlangen', 'doch da auch gott uns nicht befreit', 'so bin ich nun bei später zeit', 'zur kirche hergegangen']","['a', 'a', 'b', 'c', 'c', 'b']","[[array([0.05504555], dtype=float32)], [array([0.05770111], dtype=float32)], [array([0.07556659], dtype=float32)]]",0.5
68,"['ich schnitt mich bis das blut mir rann', 'dem lieben gott verschrieb ich dann', 'mich ganz doch nicht', 'dem bösen', 'gott will ja gern die kleinen sehn', 'für ewig will ich zu ihm gehn', 'um', 'sie nur zu erlösen']","['a', 'a', 'b', 'c', 'd', 'd', 'e', 'c']","[[array([0.02127635], dtype=float32)], [array([0.02457112], dtype=float32)], [array([0.06887412], dtype=float32)]]",0.625
69,"['doch sag s nicht meinem mütterlein', 'sie darf nun nicht mehr traurig sein', 'sonst klagt und weint sie immer', 'der priester ihn im arme hält', 'dich segne gott im himmelszelt', 'nun sollst du weinen nimmer']","['a', 'a', 'b', 'c', 'c', 'b']","[[array([0.08207583], dtype=float32)], [array([0.00533158], dtype=float32)], [array([0.1306805], dtype=float32)]]",0.5
70,"['hell schimmert der schnee auf feldern und flur', 'ein einsames licht blinkt im hüttchen nur', 'dort harret das mädchen beim lampenschein', 'des herzliebsten sein']","['a', 'a', 'b', 'b']","[[array([0.22154915], dtype=float32)], [array([0.0768559], dtype=float32)]]",0.5
71,"['still ist s in der mühle das treibrad steht', 'nun glättet der knappe sein haar und geht', 'drauf hüpfet er lustig hin eins zwei drei', 'am mühlteich vorbei']","['a', 'a', 'b', 'b']","[[array([0.09554893], dtype=float32)], [array([0.16057473], dtype=float32)]]",0.5
72,"['froh singet er laut in den schneidenden wind', 'von dem ihm die wangen geröthet sind', 'schneekönigin fährt über wälder und au', 'auf wolken grau']","['a', 'a', 'b', 'b']","[[array([0.06940693], dtype=float32)], [array([0.11501545], dtype=float32)]]",0.5
73,"['wie schön bist du doch bei des schneelichtes schein', 'ich hab dich erkoren zum herzliebsten mein', 'komm folg mir auf schwimmenden wolken von schnee', 'ueber berge und see']","['a', 'a', 'b', 'b']","[[array([0.05164313], dtype=float32)], [array([0.4715891], dtype=float32)]]",0.5
74,"['die schneeflocken fallen so groß und so dicht', 'mein blumennetz fängt dich o fliehe mich nicht', 'mein brautbette steht dort so schimmernd und fein', 'komm schlummre nur ein']","['a', 'a', 'b', 'b']","[[array([0.04150552], dtype=float32)], [array([0.0297761], dtype=float32)]]",0.5
75,"['nicht mehr blinkt im hüttchen des lichtes schein', 'weiß wirbeln die flocken in ringelreihn', 'ein sternchen blickt aus wolken heraus', 'nun löschen sie s aus']","['a', 'a', 'b', 'b']","[[array([0.39008617], dtype=float32)], [array([0.07182521], dtype=float32)]]",0.5
