LLM,id,text,close_text,semantic_dist
GPT2-large,3,"Oh Gott , wie soll ich das erfassen","Denn wie soll, wie kann ich's zähmen,",4.073305606842041
GPT2-large,3,Ein Nichts ist niemals auch kein Etwas,"Du bist ein Nichts und bleibst ein Nichts,",5.402258396148682
GPT2-large,3,Ein Nichts ist niemals auch kein Etwas . . .,"Aus nichts wird etwas denn bei mir,",5.7373504638671875
GPT2-large,3,Ein Nichts ist niemals auch kein Etwas,"Du bist ein Nichts und bleibst ein Nichts,",5.402258396148682
GPT2-large,3,Ein Nichts ist niemals auch kein Etwas,"Du bist ein Nichts und bleibst ein Nichts,",5.402258396148682
GPT2-large,3,"Ein Nichts ist niemals auch kein Etwas ,","Aus nichts wird etwas denn bei mir,",5.515909671783447
GPT2-large,3,Ein Nichts ist niemals auch kein Etwas .,"Aus nichts wird etwas denn bei mir,",5.532138347625732
GPT2-large,3,Ein Nichts ist niemals auch kein allein,"Es ist keiner je allein,",3.79120135307312
GPT2-large,3,"Oh Gott , wie soll ich das erfassen","Denn wie soll, wie kann ich's zähmen,",4.073305606842041
GPT2-large,3,Ich mag das schier nicht glauben wollen,"So müßt ihr drum nicht glauben,",4.092517375946045
GPT2-large,4,Denn ihrem Wahn verfallen allzu lose,Des Wahns Erinnrung zu.,3.8226730823516846
GPT2-large,4,Was will die sonne Unter Gottes Sonne ?,"Was wär mir dann die Sonne,",4.09683084487915
GPT2-large,4,Was will die sonne Unter Gottes heide,Wie 'n gottverlass'ner Sünder hin?,4.889621734619141
GPT2-large,4,Ich will mich mal von diesem Gartenbeete,Und will schon aus dem Garten gehn:,3.8983280658721924
GPT2-large,4,Zur grüne Wiese längs des Grabens wenden,Auf grüner Heid' in freiem Feld,4.645005226135254
GPT2-large,4,"Und um zu wissen , ob ich sie gefunden .","Wirst du sie finden, die –",4.192264080047607
GPT2-large,4,Von meinem lieben Fenster aus gemessen,Gern von meinem Fenster schau ich,5.262577533721924
GPT2-large,4,Vom lichten Mond betrachtet ich die Gegend ;,Schauet im Mondenschein,4.434215068817139
GPT2-large,4,Der Weg von hier bis hin zur grünen gegend,Wo sich von grünen Grüften,5.210918426513672
GPT2-large,4,hinaus Ich hab ihn mondwärts nie betreten,Sonst nie von meiner Noth.,4.510980606079102
GPT2,5,In ein Bild zerfließt die blüte,"Weithin verhauchend Blüthenduft,",4.928884983062744
GPT2,5,"Auf dem Felde , auf der Heide ,","Das Feld entlang,",4.691956043243408
GPT2,5,Wo das Herz der Jugend noch steht,Dem das frische Herz noch in die Weite,5.468508720397949
GPT2,5,Da Mit ihrem hellen Glanze sich,"Sind schon illuminirt,",3.21087646484375
GPT2,5,Einst von ihrem Geist entzückt war,"Zu ihrem Geist gespannt,",4.0976176261901855
GPT2,5,"In des Herzens Tiefen sucht ihr ,",Ganz Deiner Seele Tiefgrund zu ergründen:,4.443192481994629
GPT2,5,"In dem sie der Liebe herzen ,","Wenn du dein Herz der Liebe weihst,",4.355716228485107
GPT2,5,"Von Es war , als säh die wüste",Durch die Schauer öder Wüstenei,3.8697547912597656
GPT2-large,6,Doch in dem dunkeln Zauberkreise,Man trete in den Zauberkreis,5.462891101837158
GPT2-large,6,"Wer wagte , kühn zu irren dort ?",Wer hat gefrevelt hier an fremdem Gute?,4.409909248352051
GPT2-large,6,"Soll nie der Blick sich klaren Weiten ,",Und lässet sich nicht sehen;,4.430013179779053
GPT2-large,6,Ein neuer Stern am Himmel steh ?,"Ist der Stern, den ich gesehn",4.334496974945068
GPT2-large,6,"Der Blick sich klaren Weiten wagen ,",Und in dem sanften Ernst des Auges taucht,4.783428192138672
GPT2-large,6,"Wer wagte , kühn zu irren hier .",Wer hat gefrevelt hier an fremdem Gute?,5.125127792358398
GPT2-large,6,"Was du begreifst , ist doch das Rechte","So findet man, und zwar mit Recht,",4.033658027648926
GPT2-large,6,"Doch in dem schwülen , fahlen Licht",Und das Licht nicht sehn;,4.521462917327881
GPT2-large,6,Soll nie der Blick sich reinen Weiten,Und lässet sich nicht sehen;,2.5993168354034424
GPT2-large,6,Ein neuer Stern am Himmel steh ?,"Ist der Stern, den ich gesehn",4.334496974945068
GPT2-large,7,"Ein weiser alter Mann ! Die Zeiten ,","So haben einen jener Alten,",4.234079837799072
GPT2-large,7,"Sie alle gehen auch an dir vorüber ,",Wird auch dir vorübergehn.,5.226033687591553
GPT2-large,7,An jedem Jahr hat sich das Wesen,Wenn wir mit jedem neuen Jahre,3.7286765575408936
GPT2-large,7,Das andre sich zum Guten dir erneut .,Euch heut schon wiederum die Thür,4.667973518371582
GPT2-large,7,Und an der Sonne goldnem Lichte,"Wann neu die Nacht die goldnen Lampen zündet,",4.112890243530273
GPT2-large,7,"Verjüng es sich , wie sich das All bewährt !",Und es wird die ganze Erde,4.783100605010986
GPT2-large,7,"Die Sonnenglut erhellt das Dunkel ,",Das dunkelt Sternenschein;,4.482847690582275
GPT2-large,7,Der goldne Tag erquickt die Brust der Nacht,Treibt des Abends Gold die Herden,5.082637786865234
GPT2-large,7,"Vergiß die Welt , vergiß die Sorgen ,",Und darob die Welt vergesse.«,4.934030055999756
GPT2-large,7,Auf daß sich Herz und Geist der Liebe freun,Im Herzen Liebesglück.,3.278452157974243
GPT2-large,8,"O , Sie nennen mir die Sense eben",Und mit reinem Sinne hab ich,4.851030349731445
GPT2-large,8,Meine Sense ist Ihr er hold,Wobei er mein gedenke!«« –,5.479397773742676
GPT2-large,8,So ein Vieh von einem Weibe ist ?,Das Lämmchen ein Leue?,3.9433748722076416
GPT2-large,8,Das wär doch ein lustig Leben ;,"Habt im Leben euch baß gefreut,",5.340786457061768
GPT2-large,8,auf Das wäre gar zu sehr dumm,"Liebster Schatz, das wäre dumm",4.615714073181152
GPT2-large,8,Das ist doch kein Leben hier drin,"Und gibt kein Lebenszeichen,",4.965771675109863
GPT2-large,8,"Wohnt , wofern Sie leben noch fort ?","Wie kannst du noch leben,",3.096275806427002
GPT2-large,8,"o , ich kenn das kleine wesen ,",Ich weiß einen kleinen Weiher,5.093527793884277
GPT2-large,8,"mutter ists Sie , die den kleinen hält","Die Mutter der Kinder,",4.574004650115967
GPT2-large,8,das ist doch ein seltnes schicksal,Das ist mir so ein dürr Geklirr;,3.5628468990325928
GPT2-large,9,"Nicht wirklich wußten , wo er sich begeben",Wißt nicht wohin er fährt?,4.398538112640381
GPT2-large,9,Es lebten andre in der Menschen tagen,Wo lebt noch bei Andern ein Volk sich dar,4.640372276306152
GPT2-large,9,"Der Tag war ihnen nichts , die Nächte Schrecken ,",Selber mir die Tag' und Nächte,5.318829536437988
GPT2-large,9,Die Felder schwiegen in den Sommertagen,"Ausgeglüht hat die Sommerzeit, –",5.324155330657959
GPT2-large,9,"Und in den Herbst und Winter , wo die flammen",Und noch im Herbste werden die,5.040128707885742
GPT2-large,9,Verbrach und wo die Tiere auf die heide,"Im Vorhof Mäus' und Käferchen,",4.767161846160889
GPT2-large,9,Verbrannt und auf entlegne Haine trabten ;,Jusqu'au trépas brûle sans cesse,5.340260028839111
GPT2-large,9,Und da in seinem kalten Busen lohte,"in seinem Troge baß gehudelt,",5.426403999328613
GPT2-large,9,"Gewaltig warm ein stilles UrVertrauen ,",Mit kindlichem Vertrauen,4.997659683227539
GPT2-large,9,Zuweilen schien der Traum ihn seines Traumes,"Ihm träumte, wie er ein Gespann",4.454723834991455
GPT2-large,10,Was hilft es ? Was soll uns das Beten nützln,"Was soll ich beten,",3.26310133934021
GPT2-large,10,"Wir schreiten weiter , stehn gelassen , weiter ,","Und klettern immer weiter,",4.57777738571167
GPT2-large,10,Und unser aller Werk ist ausgeführt,Was uns gelang;,4.873563289642334
GPT2-large,10,"Denn unsre Hoffnung ist zu nichts geworden ,",Und keine Hoffnung gekannt.,5.156117916107178
GPT2-large,10,In Asche getreten auf des Grabes asche,"Schon zu Asche will zerfließen,",4.150951862335205
GPT2-large,10,Und von der Menschheit selbst verschmähter Gnade,Und gabst erbarmend zum Geleite,4.386079788208008
GPT2-large,10,Betrübt und unbelohnt ! Es wird zuletzt,"Erinn'rung euch betrübt,",4.768826007843018
GPT2-large,10,Die eine Welt erneut den Anfang haben,Allbefruchtend eine Welt umfängt:,5.380807876586914
GPT2-large,10,Und unsre Trümmer aufgerichtn in asche,"Bestreut mit Asche, warfen wir im Schmutz",3.9671897888183594
GPT2-large,10,"Und unsre Hoffnung ist das Licht , obs tage ,",Der uns den lichten Himmelschein,5.40872859954834
GPT3,11,Wenn man nicht glaubt an Gott und seinen namen,"Mit Gott euch zu vermählen,",4.843999862670898
GPT3,11,Was also soll man dann am Jenseits machen,"Was kann des Himmels Kreisen,",4.194486618041992
GPT3,11,"Hinunter in die Hölle mit Vergnügen ,",Und zur Hölle fahre Hohn!,4.858272552490234
GPT3,11,Zu allen Teufeln hindurch in die Tiefe !,Mit allen dummen Teufeln!,4.0534586906433105
GPT3,11,Das ist die kleine Welt der schlechten alle,"Und als man überall dem Übel nachgespüret,",5.395471096038818
GPT3,11,Ihr weise Rat ist karg und häufig selten,Drum riet der längst auf klugen Rat,5.5989885330200195
GPT3,11,Denn aller Welt sie sind verhasst und schenken,Und auf Befehl man liebt und hasset.,5.160148620605469
GPT3,11,"Keinem etwas , immer nur zu aufgeregten ,","Nie an Spielen froher Lust,",4.766448974609375
GPT3,11,Doch dennoch halt ich sie nicht für den Teufel,Es tät den Teufel nicht lange bitten;,5.210942268371582
GPT3,11,Denn sie vermag den Menschen gut zu lehren,"Es soll den Schmaucher lehren,",4.924971103668213
GPT2-large,12,Erschien im Leben wirr die Saat erstorben .,Durch ein tapfres Sterben,4.984417915344238
GPT2-large,12,"Der Tod , der Geist , die Liebe sie verrinnen ,","Was ist der Tod? Des Herzens Ruh' und Weile,",5.049448013305664
GPT2-large,12,"Was alles bist du ? was bist du gewesen ,","Wer du gewesen bist,",4.2828898429870605
GPT2-large,12,Du gabst der Menschentugend ihrem Ziele,Den Menschen vergönnt;,5.471713066101074
GPT2-large,12,"Doch wie den schönen Kranz , in dessen Blüte","Schöne Blümlein fandst du,",4.613178730010986
GPT2-large,12,"Das Leben hing an einem goldnen Morgen ,",Das Leben seine goldnen Stunden feiert –,5.3124589920043945
GPT2-large,12,Verbürgst in deinen dunkeln Augen wieder,Ihr im dunklen Auge.,4.712130546569824
GPT2-large,12,"Der Menschen Elend , der Menschentücke Wonne ,",Erschienst Du eine Leidgestalt:,4.857903003692627
GPT2-large,12,"Da deine Hand , die heilge , strenge , leise ,","Vors Haupt sich die geballte Faust, und stumm",5.119228363037109
GPT2-large,12,Auf meine Stirn ein sanftes Küssen legte,Küßt mich in sanfter Treue auf die Stirn ...,3.741480588912964
GPT2-large,13,"Ein Mönch , ein Freund , ein großer vater","Das einst ein Mönch, den, wie's so manchen gehet,",6.146326541900635
GPT2-large,13,Sie sahn aus ihrem Wahn verschwunden,Des Wahns Erinnrung zu.,4.904847145080566
GPT2-large,13,"Das All und seine Rätselherde ,",Rätselumgürtetes,4.543778896331787
GPT2-large,13,Sie saßen auf der hohen Väter,"Den Alten in den Höhen,",5.361862659454346
GPT2-large,13,"Versöhnungsstätte , wo die heiden","Geländer, wo ein Weidenstab",4.922936916351318
GPT2-large,13,"Die Großen , nach der Hölle zogen","Wodurch der Hölle Trug zerrann,",5.093474388122559
GPT2-large,13,Und hörten dort die Engel Gottes,Und hörte Gott Vater von Engeln loben,3.8360884189605713
GPT2-large,13,Zu ihrem Heil für alle Zeiten ;,"Will alles alliebend, allsegnend beglücken.",4.644817352294922
GPT2-large,13,Den einzig wahren Weg zum Himmel .,"Ist dies der wahre Weg zum Himmel,",4.311926364898682
GPT2-large,13,"Wir beide saßen in der Höhe ,","Ja, daß wir durch die höchsten Himmelshöhen",5.679536819458008
GPT3,14,Was ist das für eine Frage jetzt,"Auf euch wendet diese Frage,",4.401864528656006
GPT3,14,"Ich bin froh , dass es mich noch trifft","Doch freu ich mich, daß ich's überstanden;",4.9638752937316895
GPT3,14,Es ist wie ein großes Rätsel mir,Das ist mir so ein dürr Geklirr;,4.440666675567627
GPT3,14,Aber eins weiß ich ganz genau es,"Dennoch auch dies Eine, so ich weiß,",4.809910774230957
GPT3,14,Gott hat alles so geschaffen un,Durch alle Schöpfung Gottes hin.,4.5693583488464355
GPT3,14,Ich und du und auch die andern,"Ich, du und aller Menschentroß,",4.418894290924072
GPT3,14,Wir sind alle seine Kinder nur,Weil Kinder im Himmel wir alle sind.,5.264533042907715
GPT3,15,Was bin ich selbst ? Ein Kind der hoffnung,Was bin ich denn für eine?,4.53129243850708
GPT3,15,Der Schatten eines Traumgesichtes,"Den du im Himmel träumtest, dessen Schatten",4.404940605163574
GPT3,15,Der halbe Weg von einer Hoffnung,Sehet im Hoffen,5.2415924072265625
GPT3,15,"Zum andern Engel , heut und früher","Und ein Engel sondergleichen,",4.066766738891602
GPT3,15,Ein Nichts zu sein ist furchtbar wichtig,"Bist mir gar nichts, gar nichts wert,",5.195888042449951
GPT3,15,Doch Tage werden wieder tausend,"Und wie an Tagen, die vergangen sind,",5.032339572906494
GPT3,15,Und heut ist nur ein Tag auf Erden,Nur jetzt von keinem Sonnenblick,5.9484968185424805
GPT3,15,Und Nichts ist viel zu sehr bedeutend .,"Nichts ist so groß, daß nichts Größres bestünde",5.5682854652404785
GPT3,15,Ein Nichts zu sein ist furchtbar weise,"Bist mir gar nichts, gar nichts werth,",5.735212802886963
GPT3,15,Denn Tage werden wieder Tausend,"Denn wie aus längst vergangnen Tagen,",4.794569969177246
GPT3,15,Und heut ist nur ein Tag in Ewigkeit .,"Steht der Mensch in der Zeit,",5.657313346862793
GPT3,15,Und nichts ist viel zu sehr bedeutend .,"Was heute gering und bedeutungslos,",5.656589508056641
GPT3,15,Ein Nichts zu sein ist furchtbar allein,Und stehen einsam und allein;,5.470830917358398
GPT3,15,Denn Tage werden wieder Tausend,"Denn wie aus längst vergangnen Tagen,",4.794569969177246
GPT3,15,Und heut ist nur ein Tag in vielen,"Ob dem neuerwachten Tag,",6.042304039001465
GPT2,16,"Und doch , das andre ist das allein",Und nur die,4.240232467651367
GPT2,16,Das Auge wieder sich gewöhnt,"Dein Auge wieder klar,",5.008054733276367
GPT2,16,"Die Seher in des Himmels Hallen ,",Hernieder von dem Himmelssaal,4.996908187866211
GPT2,16,Es hebt sich in der Himmelshöh ;,Es erhebet himmelauf,3.0510854721069336
GPT2,16,Es hebt sich in den tiefsten Räumen,Rühren bis in seine tiefsten Tiefen,4.7380266189575195
GPT2,16,Das Auge wieder sich gewöhnt .,"Dein Auge wieder klar,",5.429686546325684
GPT2,16,Wer wird die schöne Braut erzählen,"Wie heißt die Braut, die Hochzeit hält?",4.749413013458252
GPT2,16,"Das ist ein ziemlich hartes Wort ,",Nach Gestalt ein scheues Wort.,5.452476501464844
GPT2,16,Doch man kann immer sie entzweien,"Und, bestürmt von zwei verschiednen Seiten,",5.146926403045654
GPT2-large,17,In dem Reich der Schöpfung herrscht das,Und daraus alle Kreatur,3.8963425159454346
GPT2-large,17,Wenn der Strahl des Lichts uns eben scheint,Der uns den lichten Himmelschein,4.045019149780273
GPT2-large,17,Wenn der Strahl das Sein des Lebens,Den Engpaß des Lebens …,4.9002275466918945
GPT2-large,17,"Nur erhellt , nicht aber erhellt wird ,","Das Licht, das mild erhellen nur gesollt,",5.061971664428711
GPT2-large,17,Wenn das Sein des Lebens ferner,"Das Leben sich vertreiben,",4.650362968444824
GPT2-large,17,"Ist , ist , sich nicht mehr als zwei","So wenig, als einst die andächtige",6.5777692794799805
GPT2-large,17,Leere Spreu im leeren Sand er,Des Wassers Spur vergehn im stummen Sand.,5.027102470397949
GPT2-large,17,Fehlt und stirbt und erstirbt und waltet,Stirbt des verirrten,5.5984110832214355
GPT2-large,17,dann ist Sein im Sein nicht mehr ein,Läßt nimmermehr,4.347851753234863
GPT2-large,17,Leeres Spreu im leeren meer feld,lernend,5.0121684074401855
GPT2-large,17,Ist Ist Reicht und stirbt und ist Sein,"Wodurch du reich sein wirst, auch wenn du darbst,",4.513657093048096
GPT2-large,17,"Oder der Tot , der sich verwandelt","Und darf der Sterbliche sich auch erkühnen,",4.991441249847412
GPT2-large,17,Dann ist Sein im Sein nicht mehr da,Läßt nimmermehr,3.910081624984741
GPT2-large,17,Tot und leer ist dann die schale,Gleich stillen Totenkerzen;,5.054566383361816
GPT2-large,18,Sie ist doch zu gut zum Scheitern etc,Ist sie fehllos ganz und gar.,4.950181484222412
GPT2-large,18,Ich will ja nicht ich will ja nichts,"Ich will ihn nicht,",4.225772857666016
GPT2-large,18,Nur nicht allein in der Wüste stehn,Einsam in der weiten Wüste!,4.8451666831970215
GPT2-large,18,"Ohne Decke , ohne Wasser .",Kalt wehen die Lüftchen; kein Dach und kein Fach,5.385684490203857
GPT2-large,18,Wie das riecht nach Mäuschenrennen cken,"Hier duftet der Flieder,",4.423407077789307
GPT2-large,18,"Oh , ihr armen Juden , hört mich","Hört mich ihr freundlichen,",5.452038288116455
GPT2-large,18,"Da ist was , das muß dich bücken",Das einst dich erkor.,4.705082416534424
GPT2-large,18,Wie das riecht nach Koth und Schweiße,"Wenn dich der Mensch, weil du im Koth und Schlamme",5.575887680053711
GPT2-large,18,"Da ist was , das muß dich wund tun",Und was dir lüsten kann.,4.14540958404541
GPT2-large,18,"Das ist was wer sagt mir jetzt das ,","Was ich dir sag', das thu!",5.3006205558776855
GPT2-large,19,Dummheit macht sich immer noch klein,"Nein, die Dummheit ist's, die biedre,",5.626525402069092
GPT2-large,19,schreiben auch die kleinsten Worte mir,"Auf wenige Worte gebeten,",5.228931427001953
GPT2-large,19,laut wie kleine Vögel schrein sie,Lauschen dort dem Zwitschern von den Vögeln,4.028372287750244
GPT2-large,19,ich bin klein wie eine Hummel nur,Sei auch ich unter Kleinsten klein –,4.861928462982178
GPT2-large,19,doch bin ich wenn ich nichts mehr hab .,Wenn mir auch gar nichts bliebe,4.798882961273193
GPT2-large,20,Du sollst nicht in den Raum den Blick vergessen,Wird dir gewiß kein Aug' ins Zimmer sehn.,4.432596206665039
GPT2-large,20,Ein Tropfen oder ein Atom ist unser eigen,Gleich einem Tropfen sich verlör!,6.5587053298950195
GPT2-large,20,"Du sollst nicht in der Schwebe bleiben , auch nicht",Kriegt fürwahr nicht so geschwinde,4.236900806427002
GPT2-large,20,"Wenn alles wächst und reift in dir zum Segen ,",Sich Glück und Segen reih';,5.2070746421813965
GPT2-large,20,Wenn jede Blüte fällt und es auf ewigkeit,"Ist alles ein Blühen und Werden,",4.823784828186035
GPT2-large,20,Ein Gott ist also ist das denn zu ende,"Gott muß doch zuletzt verwalten,",4.326653957366943
GPT2-large,20,Was teufel sagt uns nun dies süsser Rätsel ?,Ahnt er das Rätsel,4.399295330047607
GPT2-large,20,Was ist das Allerliebste aller Dinge ?,"Wem mögen sie schönste Gefühle,",3.781066417694092
GPT2-large,20,Was ist der ewige Wert des kleinsten dingen,"Ist dies nur der kleinsten Kraft empfänglich,",5.1415696144104
GPT2-large,20,Was ist das Allerschlimmste aller dingen,Doch das Schrecklichste aus allen,3.7067904472351074
GPT2-large,20,Ein Tropfen oder ein Atom ist unser Denken .,Ein Tropfen nur im unermeßlichen,6.503058433532715
GPT2-large,20,Ein Gott ist dies wir denken aus Gedanken .,"Ein Gedanke nur der Gottheit,",5.122925281524658
GPT2-large,20,Und wer nun sagt ich hat an meinen denken,Und ob ich sein gedacht,2.924812078475952
GPT2-large,20,Ach der nicht denkt an seines Sohnes Vater .,Spricht dann: »Kennst du mich nicht? Kennst du den Vater nicht mehr?,5.105870723724365
GPT2-large,20,Was ist das Allerschlimmste aller dingen .,Der schlimmste in der Reih':,4.423710346221924
GPT2-large,21,Was als Was als War einst Auf meinem sinne,"Was mir draußen begegnet und was ich dachte,",5.306073188781738
GPT2-large,21,"Auf meinem Wege lag , das war das schicksal",Da wurde aus der Stube ich,3.94881010055542
GPT2-large,21,"Was nun mein Weg war , lag das nie gesehne .","Doch seit ich seltner den Weg genommen,",4.79380464553833
GPT2-large,21,Warum warum warum ? Das wird sich einmal,Denn warum? Es wohnt Vernunft,2.249459981918335
GPT2-large,21,Doch heut muß ich das tiefe Schweigen weinen,Ertrage ich in stummer Qual;,4.369362831115723
GPT2-large,21,Der Antwort Ohr ist immer mir verschlossen,Die Mahnung immer mir ins Ohr:,5.449105739593506
GPT2-large,21,zurück Doch eine Frage bleibt Die eine,Dir sei die eine Frage noch gestellt:,5.007529258728027
GPT2-large,21,Die ich mir immer neu und selbstvergessen,"Und ich vergesse nimmer,",4.48972749710083
GPT2-large,21,In meines Denkens bunten Fluß getragen,"Zwischen den Flüssen gestreckt,",5.03525447845459
GPT2-large,21,Warum will ich das tiefe Schweigen wollen,Wird mir der Drang zur Stille …,4.502871513366699
GPT2-large,21,Denn meine Sehnsucht sucht das tiefe Schauen,"In die Tiefe tauchend, scheucht' ich",4.816833019256592
GPT2-large,21,Nach meinem Weg den tiefen sehnsuchtsvollen ?,Ich verzehre mich in Sehnsucht,4.282835960388184
GPT2-large,21,Und wie ? Weil sich die Sehnsucht mir will retten,Durst brauch' i net z' wünschen –,4.676148891448975
GPT2-large,21,Und hat zugleich zu allen ihren Kämpfen,"Sich durch des Kampfs Getöse,",3.9844255447387695
GPT2-large,21,Mein Denken ist in seinen Kampf getreten !,"Zum Kampf versah, der, wenn er stieß,",4.765632629394531
GPT2-large,22,"Und , wie das Werk am unvollkommnen orte","Der eitlen Eitelkeit,",5.879003047943115
GPT2-large,22,Als er zum zweiten Mal auf dieser Erde,"Besuchst du ihn auf Erden wieder,",5.169138431549072
GPT2-large,22,Die alten Formen wieder neu geschaffen,Sich erst neu entfaltet hat,5.501319408416748
GPT2-large,22,"Aus seiner Hand die Hoffnung , Liebe , Handwerk","Lieb' im Herzen, Hoffnung, Glaube,",5.832676887512207
GPT2-large,22,Und Lebensart und Lebensart verschmähte,des Lebens Bau entzwei.,4.180736064910889
GPT2-large,22,"Die Sehnsucht , daß , wie an der hohen Stätte","Der Aberglaub' auf Hochaltäre hin,",4.495944976806641
GPT2-large,22,Der alten hohen Götter mit gefallen,"Die alten Götter und die hohen Helden,",4.375493049621582
GPT2-large,22,"Der Schnitter auf der Berge Gipfel standen ,","Über den Gebirgen, was erglänzt",4.9721269607543945
GPT2-large,22,"Umringt von ihren Lichtern , sie dem gaben","Aufschauten nach dem Lichte,",5.134929656982422
GPT2-large,22,Durch goldne Schalen Licht zum Dufte geben .,"Verhüllt des Lichtes goldnen Schein,",5.259589195251465
GPT2_top_p,23,Unser heißes Herz mit seinen Thränen schmilzt mir,Unsre Herzen sehnlich brennen,4.6555352210998535
GPT2_top_p,23,Fanny ! Fanny ! Sie ist heute frisch und will,"Kommt die Alte da mit Keuchen,",6.51365327835083
GPT2_top_p,23,Mir für alle Zeit ein Hering spieß Ein Herd ist,Auch ich entrafft' mich dem heimischen Herd –,4.747459411621094
GPT2_top_p,23,"Bei ihr zumal , kommt ihr hierher dann für immer hin ?",Von ihr nicht Ewigkeiten lang?,3.999704360961914
GPT2_top_p,23,"Hört ich zum Ihr , ihr der Poesie vertraun nicht !","Solcher Dichtung gerne lauschten,",4.894891738891602
GPT2_top_p,23,"Laßt mich Euch ein Zeichen geben nach der gegenwart ,","Gib ein einzig Zeichen,",5.095468521118164
GPT2_top_p,23,"Wie du , als du so wie damals früh , o müde ,",Und müde schon vor der Zeit …,5.053065776824951
GPT2_top_p,23,Kurz verbannst die leeren Zügel deine Hände dir !,"Füllt ihre Hand nicht manches Höflings Wanst,",5.258065700531006
GPT2-large,24,Und so durchdrang die volle güte,"Und wie der Hochmut sich erdreiste,",3.346299171447754
GPT2-large,24,Was ihr der Gott der Liebe gab .,"Den ihr der Gott des Schlummers bot,",4.760749340057373
GPT2-large,24,Als klar die Himmelssprache redet,"Was himmlisch ihr verkündet ist,",5.215533256530762
GPT2-large,24,Hat sie vom All ihr Wort begehrt,vom himmlischen Gesind'?,4.707943916320801
GPT2-large,24,Wo noch kein Gott zu ihr geredet,"Wo die Ahnung allein, das Göttliche nur",5.450414180755615
GPT2-large,24,Hat sie vom All ihr Wort begehrt .,"Und sie verstand mich doch wohl? O Einverständnis der Völker,",5.2635884284973145
GPT2-large,24,Und nun ist ihr der Blick erweitert,"Erweitert sich mein Blick,",4.654274940490723
GPT2-large,24,Sie kennt den Mann in Gott und wahrt,"Sie wähnt' sich's von Gott geheißen,",4.789142608642578
