LLM,id,text
GPT2-large,13,"Ein Mönch , ein Freund , ein großer vater"
GPT2-large,13,Sie sahn aus ihrem Wahn verschwunden
GPT2-large,13,"Das All und seine Rätselherde ,"
GPT2-large,13,Sie saßen auf der hohen Väter
GPT2-large,13,"Versöhnungsstätte , wo die heiden"
GPT2-large,13,"Die Großen , nach der Hölle zogen"
GPT2-large,13,Und hörten dort die Engel Gottes
GPT2-large,13,Zu ihrem Heil für alle Zeiten ;
GPT2-large,13,Den einzig wahren Weg zum Himmel .
GPT2-large,13,"Wir beide saßen in der Höhe ,"
GPT3,14,Was ist das für eine Frage jetzt
GPT3,14,"Ich bin froh , dass es mich noch trifft"
GPT3,14,Es ist wie ein großes Rätsel mir
GPT3,14,Aber eins weiß ich ganz genau es
GPT3,14,Gott hat alles so geschaffen un
GPT3,14,Ich und du und auch die andern
GPT3,14,Wir sind alle seine Kinder nur
GPT3,15,Was bin ich selbst ? Ein Kind der hoffnung
GPT3,15,Der Schatten eines Traumgesichtes
GPT3,15,Der halbe Weg von einer Hoffnung
GPT3,15,"Zum andern Engel , heut und früher"
GPT3,15,Ein Nichts zu sein ist furchtbar wichtig
GPT3,15,Doch Tage werden wieder tausend
GPT3,15,Und heut ist nur ein Tag auf Erden
GPT3,15,Und Nichts ist viel zu sehr bedeutend .
GPT3,15,Ein Nichts zu sein ist furchtbar weise
GPT3,15,Denn Tage werden wieder Tausend
GPT3,15,Und heut ist nur ein Tag in Ewigkeit .
GPT3,15,Und nichts ist viel zu sehr bedeutend .
GPT3,15,Ein Nichts zu sein ist furchtbar allein
GPT3,15,Denn Tage werden wieder Tausend
GPT3,15,Und heut ist nur ein Tag in vielen
GPT2,16,"Und doch , das andre ist das allein"
GPT2,16,Das Auge wieder sich gewöhnt
GPT2,16,"Die Seher in des Himmels Hallen ,"
GPT2,16,Es hebt sich in der Himmelshöh ;
GPT2,16,Es hebt sich in den tiefsten Räumen
GPT2,16,Das Auge wieder sich gewöhnt .
GPT2,16,Wer wird die schöne Braut erzählen
GPT2,16,"Das ist ein ziemlich hartes Wort ,"
GPT2,16,Doch man kann immer sie entzweien
GPT2-large,17,In dem Reich der Schöpfung herrscht das
GPT2-large,17,Wenn der Strahl des Lichts uns eben scheint
GPT2-large,17,Wenn der Strahl das Sein des Lebens
GPT2-large,17,"Nur erhellt , nicht aber erhellt wird ,"
GPT2-large,17,Wenn das Sein des Lebens ferner
GPT2-large,17,"Ist , ist , sich nicht mehr als zwei"
GPT2-large,17,Leere Spreu im leeren Sand er
GPT2-large,17,Fehlt und stirbt und erstirbt und waltet
GPT2-large,17,dann ist Sein im Sein nicht mehr ein
GPT2-large,17,Leeres Spreu im leeren meer feld
GPT2-large,17,Ist Ist Reicht und stirbt und ist Sein
GPT2-large,17,"Oder der Tot , der sich verwandelt"
GPT2-large,17,Dann ist Sein im Sein nicht mehr da
GPT2-large,17,Tot und leer ist dann die schale
GPT2-large,18,Sie ist doch zu gut zum Scheitern etc
GPT2-large,18,Ich will ja nicht ich will ja nichts
GPT2-large,18,Nur nicht allein in der Wüste stehn
GPT2-large,18,"Ohne Decke , ohne Wasser ."
GPT2-large,18,Wie das riecht nach Mäuschenrennen cken
GPT2-large,18,"Oh , ihr armen Juden , hört mich"
GPT2-large,18,"Da ist was , das muß dich bücken"
GPT2-large,18,Wie das riecht nach Koth und Schweiße
GPT2-large,18,"Da ist was , das muß dich wund tun"
GPT2-large,18,"Das ist was wer sagt mir jetzt das ,"
GPT2-large,19,Dummheit macht sich immer noch klein
GPT2-large,19,schreiben auch die kleinsten Worte mir
GPT2-large,19,laut wie kleine Vögel schrein sie
GPT2-large,19,ich bin klein wie eine Hummel nur
GPT2-large,19,doch bin ich wenn ich nichts mehr hab .
GPT2-large,20,Du sollst nicht in den Raum den Blick vergessen
GPT2-large,20,Ein Tropfen oder ein Atom ist unser eigen
GPT2-large,20,"Du sollst nicht in der Schwebe bleiben , auch nicht"
GPT2-large,20,"Wenn alles wächst und reift in dir zum Segen ,"
GPT2-large,20,Wenn jede Blüte fällt und es auf ewigkeit
GPT2-large,20,Ein Gott ist also ist das denn zu ende
GPT2-large,20,Was teufel sagt uns nun dies süsser Rätsel ?
GPT2-large,20,Was ist das Allerliebste aller Dinge ?
GPT2-large,20,Was ist der ewige Wert des kleinsten dingen
GPT2-large,20,Was ist das Allerschlimmste aller dingen
GPT2-large,20,Ein Tropfen oder ein Atom ist unser Denken .
GPT2-large,20,Ein Gott ist dies wir denken aus Gedanken .
GPT2-large,20,Und wer nun sagt ich hat an meinen denken
GPT2-large,20,Ach der nicht denkt an seines Sohnes Vater .
GPT2-large,20,Was ist das Allerschlimmste aller dingen .
GPT2-large,21,Was als Was als War einst Auf meinem sinne
GPT2-large,21,"Auf meinem Wege lag , das war das schicksal"
GPT2-large,21,"Was nun mein Weg war , lag das nie gesehne ."
GPT2-large,21,Warum warum warum ? Das wird sich einmal
GPT2-large,21,Doch heut muß ich das tiefe Schweigen weinen
GPT2-large,21,Der Antwort Ohr ist immer mir verschlossen
GPT2-large,21,zurück Doch eine Frage bleibt Die eine
GPT2-large,21,Die ich mir immer neu und selbstvergessen
GPT2-large,21,In meines Denkens bunten Fluß getragen
GPT2-large,21,Warum will ich das tiefe Schweigen wollen
GPT2-large,21,Denn meine Sehnsucht sucht das tiefe Schauen
GPT2-large,21,Nach meinem Weg den tiefen sehnsuchtsvollen ?
GPT2-large,21,Und wie ? Weil sich die Sehnsucht mir will retten
GPT2-large,21,Und hat zugleich zu allen ihren Kämpfen
GPT2-large,21,Mein Denken ist in seinen Kampf getreten !
GPT2-large,22,"Und , wie das Werk am unvollkommnen orte"
GPT2-large,22,Als er zum zweiten Mal auf dieser Erde
GPT2-large,22,Die alten Formen wieder neu geschaffen
GPT2-large,22,"Aus seiner Hand die Hoffnung , Liebe , Handwerk"
GPT2-large,22,Und Lebensart und Lebensart verschmähte
GPT2-large,22,"Die Sehnsucht , daß , wie an der hohen Stätte"
GPT2-large,22,Der alten hohen Götter mit gefallen
GPT2-large,22,"Der Schnitter auf der Berge Gipfel standen ,"
GPT2-large,22,"Umringt von ihren Lichtern , sie dem gaben"
GPT2-large,22,Durch goldne Schalen Licht zum Dufte geben .
GPT2_top_p,23,Unser heißes Herz mit seinen Thränen schmilzt mir
GPT2_top_p,23,Fanny ! Fanny ! Sie ist heute frisch und will
GPT2_top_p,23,Mir für alle Zeit ein Hering spieß Ein Herd ist
GPT2_top_p,23,"Bei ihr zumal , kommt ihr hierher dann für immer hin ?"
GPT2_top_p,23,"Hört ich zum Ihr , ihr der Poesie vertraun nicht !"
GPT2_top_p,23,"Laßt mich Euch ein Zeichen geben nach der gegenwart ,"
GPT2_top_p,23,"Wie du , als du so wie damals früh , o müde ,"
GPT2_top_p,23,Kurz verbannst die leeren Zügel deine Hände dir !
GPT2-large,24,Und so durchdrang die volle güte
GPT2-large,24,Was ihr der Gott der Liebe gab .
GPT2-large,24,Als klar die Himmelssprache redet
GPT2-large,24,Hat sie vom All ihr Wort begehrt
GPT2-large,24,Wo noch kein Gott zu ihr geredet
GPT2-large,24,Hat sie vom All ihr Wort begehrt .
GPT2-large,24,Und nun ist ihr der Blick erweitert
GPT2-large,24,Sie kennt den Mann in Gott und wahrt
GPT2-large,24,Das tiefe Heil des Seelengrundes
GPT2-large,24,Und in der Mutter Herz hat es
GPT2-large,25,"Und es wird dir in stiller Stunde ,"
GPT2-large,25,"Wenn dir die ganze Seele glüht ,"
GPT2-large,25,Wenn sich in deiner Seele Tiefen
GPT2-large,25,"Der Geist der Dichtung mächtig regt ,"
GPT2-large,25,"Um Liebe , Freundschaft , Ruhm und Schmerzen"
GPT2-large,25,"Um alles , was zum Lichte dringt ,"
GPT2-large,25,"Um deines Lebens große Tage ,"
GPT2-large,25,"Um deines Lebens große Nacht ,"
GPT2-large,25,Um deines Lebens erste Sonnen
GPT2-large,25,"Die ganze Welt erscheint dir schön ,"
GPT2_top_p,26,bewegt auf dieser ganzen wegen
GPT2_top_p,26,Ich hatte es geheim gefunden
GPT2_top_p,26,Ein Rätsel blieb er mit dem Ringen
GPT2_top_p,26,Und träumte noch von einem Wunder .
GPT2_top_p,26,"Kann denn das Kind , das einmal wüßte ,"
GPT2_top_p,26,sich einmal nur durch nichts im Klaren ?
GPT2_top_p,26,in alten Blättern wiedergewebt
GPT2_top_p,26,"Die Nacht durchbrach das dunkle Dunkel ,"
GPT2-large,27,"Heißt das , daß ich meine Müh nicht"
GPT2-large,27,"Heißt das etwa , ich hab nichts erreicht"
GPT2-large,27,Außer meines Daseins Müh nicht
GPT2-large,27,"Ganz gewiß , du bist auf Erden nur"
GPT2-large,27,"Leben , ist ein böser Traum nicht"
GPT2-large,27,Das ist ja das ist kein Leben mehr !
GPT2-large,27,"Aber das Wissen , was uns quält ist"
GPT2-large,27,fragen ob das nun Ist es nicht so ?
GPT2-large,27,also daß du ganz dich wolltest
GPT2-large,27,bin ich bist du selber nur und bist
GPT2-large,28,"Und ihn durch alle Zeiten , die gekommen"
GPT2-large,28,Durch alle Zeiten wie durch alle Zeiten
GPT2-large,28,"Aus ihrer Tiefe bis in ihre Höhe ,"
GPT2-large,28,"Begrabend unter einem weiten , weiten"
GPT2-large,28,"Gewölk ein ernster , thränenvoller herrscher"
GPT2-large,28,Der in der Ferne stand auf jenem ozean
GPT2-large,28,"Und sah die Riesen wogen , sah die Gletscher"
GPT2-large,28,In ihrer Wolken Reiche mit den Lusen
GPT2-large,28,Und seine eisge Wimper flammend sinken ;
GPT2-large,28,"Und wie in einem Traume sah er ragen ,"
GPT2-large,29,"Der Frühling , wenn ihn alles schlummert"
GPT2-large,29,Wenn alles in die Grüfte träumt
GPT2-large,29,"Und alles sich am Lichte freuet ,"
GPT2-large,29,"Wenn sich am Boden alles preßt ,"
GPT2-large,29,Wenn alle Bäche aufwärts drehen
GPT2-large,29,Ist immer Frühling doch und eben
GPT2-large,29,natur nicht bloß ein großes Sterben
GPT2-large,29,Denn alles hat ein Ende eben
GPT2-large,29,Natur nicht bloß ein großes tode
GPT2-large,29,Denn alles hat ein Ende eben
GPT2-large,29,Das ganze Weltall ist das Leben
GPT2-large,29,"Wenn alles in die Grüfte muß ,"
GPT2-large,29,Muß alles sich am Lichte freuet
GPT2-large,29,Und also ist Natur ein Tod
GPT2-large,29,"Im Leben ists ein süßer Loskauf ,"
GPT2-large,30,Was ist denn Was für ein fragen
GPT2-large,30,Wesen ist Wo sich begegnen wo
GPT2-large,30,"das was ist , ist nichts zu sagen ."
GPT2-large,30,Was ist denn das ganze Leben ?
GPT2-large,30,"eine Welle die versiegt ist ,"
GPT2-large,30,eine Seele in der einen brust .
GPT2-large,31,Wir andre können sie nicht mögen
GPT2-large,31,Man jeder lebt sein eignes leben
GPT2-large,31,Und kann sie nur in Liebe haben
GPT2-large,31,Wir haben sie in unsern Augen
GPT2-large,31,"Nicht , wie man sollte abstand nehme"
GPT2-large,31,Sie ist ein Teufelsspein für teufel
GPT2-large,31,"Wenn eine sich von Herzen freundet ,"
GPT2-large,31,Wenn alles rings um sie sich kehre !
GPT2-large,31,Es ist ein armer Mensch auf Erden
GPT2-large,31,Er ist von allen seinen Brüdern
GPT2-large,32,"Auch der Stoff , aus dem der große Geist entsproß ist ,"
GPT2-large,32,Stoff des Geists ist möglich Ihm entglitt die Schranke nie
GPT2-large,32,"Auch ihr Auch ihr das ist Stoff die Formen auch sein ,"
GPT2-large,32,Alles Werden Alles Sein ist Stoff des Stoffes keim
GPT2-large,33,Und wenn mein Geist aus jenem wagen
GPT2-large,33,"Ins Weitre hinaus zum Jenseits wandert ,"
GPT2-large,33,"Wer sagt mir dann , wohin er wander"
GPT2-large,33,"Sein Geist , wie hat er dann zu wandern ?"
GPT2-large,33,Wir selber wissen doch zu können
GPT2-large,33,"Was also soll der Mensch beginnen ,"
GPT2-large,33,Er soll von vorn herein sich führen
GPT2-large,33,Soll er zur ewigen Hölle fahren ?
GPT2-large,33,Ein Schemen mag er sein auf dauer
GPT2-large,33,Ein loser Schatten unsrer Väter
GPT2,34,"Was ich schäme , was ich aber bin"
GPT2,34,"So Was ich bin , das wär doch nur"
GPT2,34,also doch nicht wie die Sense mir
GPT2,34,Von der Sense bis zum himmel
GPT2,34,In die Welt mit dieser Sense ging
GPT2,34,Das wär doch mein Liebchen oder so
GPT2,34,"Sehet ihr des Nordlands Wüppeln dort ,"
GPT2,34,"Hier will ich mit wachem Geist mich ,"
GPT2-large,35,"Ach , mein junges liebes Tierchen chen"
GPT2-large,35,"du du alles , was du wolltest"
GPT2-large,35,Ist mir selber auch ein Rätsel wohl !
GPT2-large,35,"Aber wenn ich sie zerlege so ,"
GPT2-large,35,wie wird sie mir wohl zerbrechen sein
GPT2-large,35,"Na , das wäre ja zu viel"
GPT2-large,35,Hähähähn was mach ich denn nun wieder falsch ?
GPT2-large,35,Ach Sie haben völlig recht mir .
GPT2-large,35,Ich muß endlich wieder einmal ein
GPT2-large,35,Aber wo nur ein liebend Herz ist
GPT2-large,36,Sie lärmt und schwatzt und schleppt die jungen männer
GPT2-large,36,Was nützen alle ihre tollen ideen
GPT2-large,36,Was teufel nützen ihre tollen Reden ?
GPT2-large,36,"Die Lehre kann ihr nichts , die Kunst ihr nimmer"
GPT2-large,36,Die bösen Geister aus dem Hirn verbannen .
GPT2-large,36,"Doch hast du leider recht , daß diese Lehre"
GPT2-large,37,Und alles Sein ist meiner Liebe
GPT2-large,37,"Ihr , die ihr in die andre Welt entrückt ,"
GPT2-large,37,"Ihr sollt in meine Lieder schleichen ,"
GPT2-large,37,Und baden sollt in selig süßem Wahn
GPT2-large,37,Doch wenn ihr einmal meiner Seele
GPT2-large,37,"Entfallen seid , dahin wird euch verklärt ,"
GPT2-large,37,Ihr sollt in meine Lieder schleichen .
GPT2-large,37,"Wenn eine Rose einst im Staub verblüht ,"
GPT2-large,37,"Und keiner mehr nach ihr will suchen ,"
GPT2-large,37,"weil sie den Sommer bringt , der sie gepflegt"
GPT2-large,38,Willst du dich selbst und allen gelten
GPT2-large,38,Nicht vor den Leuten scheu zurück !
GPT2-large,38,"Und vor den Hügeln , grünen dörfern"
GPT2-large,38,"Ja , drüben in der weiten Öden"
GPT2-large,38,Sollst du in frommer Demut sitzen
GPT2-large,38,"Das ist der Ort , das ist der Ort !"
GPT2-large,38,Von diesen Bergen willst du dorthin
GPT2-large,38,Aus diesen Wäldern gehst du hin
GPT2-large,38,Und bist du hier geboren allein
GPT2-large,38,Sei hier mit deinem ganzen Sein !
GPT2-large,39,"Sag ich , daß es mich gebrochen"
GPT2-large,39,machts das noch mich Sieger ? Nimmer doch
GPT2-large,39,Ich bin nur zu früh geboren .
GPT2-large,39,Ich bin nur zu spät geboren doch .
GPT2-large,39,"Ich war klein , hab mich gequält viel"
GPT2-large,39,konnte Niemand etwas Rechtes ein
GPT2-large,39,Ich bin kaum geboren so schon
GPT2-large,39,bin ich heute bin ich Sieger in
GPT2-large,39,alles was ich tu und sage .
GPT2-large,39,Was ist das ? Mit einer Schwalbe nur
GPT2,40,Du hast im Herzen dich beschlossen
GPT2,40,Du wirst in meiner Zeitung lesen
GPT2,40,Und zwar auf Deiner ersten Wochen .
GPT2,40,Und meine Zeitung wird dich lesen !
GPT2,40,Und meine Zeitung wird dir singen
GPT2,40,"Du hast für mich ein Kind geboren ,"
GPT2,40,Du hast die Mutter meiner Kinder .
GPT2,40,Wir schlichen durch die grünen Auen
GPT3,41,In allem Schönen liegt ein wirklich
GPT3,41,Das unser Herz begehrlich macht
GPT3,41,"Es ruft uns an mit Macht und Gnaden ,"
GPT3,41,Doch nur in einem Augenblick
GPT3,41,Ein kleines Stück von deiner wahrheit
GPT3,41,Im Traum von einer andern Welt
GPT3,41,Und jedes Schöne hat sein Schönes
GPT3,41,"Das zieht uns in die Ferne , weit"
GPT3,41,"Das ist der Sinn des Lebens , weiter"
GPT3,41,Ist alles was uns noch bleibt eben
GPT3,41,Und alles was wir jemals wollten
GPT3,41,Und nichts davon ist wirklich hier .
GPT3,41,All unser Tun ist nur ein Warten
GPT3,41,"Auf das was wir nicht kennen , weit"
GPT3,41,Und alles was wir tun ist nichtig .
GPT2-large,42,Alles alles webt im weiten ewgen bande
GPT2-large,42,Aber der Kern der einzig ewge Kern des Lebens ist
GPT2-large,42,"Selbst die ewge , ewige deutsche Poesie sei"
GPT2-large,42,"Aber die höchste Schönheit blüht in deutschen Gauen nur ,"
GPT2-large,42,Wie in jedem deutschen Dichter immer noch wohnt
GPT2-large,42,"Alles , alles webt im weiten ewgen lenz stern"
GPT2-large,42,Aber der Kern der einzig wahre heilge vater
GPT2-large,42,"Treu und wahrhaft ist der heilge deutsche Glaube tief ,"
GPT2-large,42,Nur in deutsch ist wirklich deutsch das deutsche Reich nicht
GPT2-large,42,Also laßt uns nun vereint die Glocken klingen hin
GPT2-large,43,Der aus der dunklen Nacht der Erdentage
GPT2-large,43,Des schönen Lebens erste bunte blüte
GPT2-large,43,"Entlockte , der die ersten Lebenstage"
GPT2-large,43,"Mit jedem neuen Morgen neu begrüßte ,"
GPT2-large,43,"Der , gleich dem Scheine , unter dem die nächte"
GPT2-large,43,"Erlüften sollten , wie die Keime grünen"
GPT2-large,43,"Dem jungen Stamm sich neu vertraut und neigte ,"
GPT2-large,43,Der aus dem Stamm des Lebens seine Kronen
GPT2-large,43,"Erhob , als schönre Götter ihn versagend ,"
GPT2-large,43,Und dessen Ruhm des Menschenwerke Preise
GPT2-large,44,Erreicht hat er es ! So gewinnt ihm Ruh
GPT2-large,44,"Und die er liebt , die Götter selbst , die feige"
GPT2-large,44,"Sie sehen mit Vergnügen , daß ein Geist"
GPT2-large,44,Von eines Volkes Sinn für seine Sache
GPT2-large,44,"Und daß er selber diesen Geist entflammt ,"
GPT2-large,44,"das eigne Ich , ihn einen Doch was gilts ! Manches"
GPT2-large,44,Sein nennt es immer sich erhaben fühlt
GPT2-large,44,Was nämlich kümmert das die Menschenseele !
GPT2-large,44,"Er sprichts , und alles Volk , von Jung bis Alt ,"
GPT2-large,44,"Von Mann zu Mann , es hockt bei Topf und Pfanne ,"
GPT2-large,45,An deinen Augen hing mein glauben
GPT2-large,45,"An deinen Blicken hing mein Glück ,"
GPT2-large,45,Doch wie die Schwinge meiner freundschaft
GPT2-large,45,Da brachst du jäh in meiner Kluft
GPT2-large,45,An jene Wunderstelle endlich
GPT2-large,45,"Da tratst du vor des Herzens Nacht ,"
GPT2-large,45,Als wärest du zu neuer weile
GPT2-large,45,"Vor meiner Liebe , meiner Heitre ,"
GPT2-large,45,Der Himmel war mit dir betrübet
GPT2-large,45,"Durch meine Seele war es trüber ,"
GPT2-large,46,"Kein Denker ward , was er geworden"
GPT2-large,46,"Doch jeder , der zu denken dachte"
GPT2-large,46,Der konnte auch die Freiheit werden .
GPT2-large,46,"Kein Denker ward , was man gedachte ."
GPT2-large,46,Die ganze Mühe war gewesen
GPT2-large,46,"Nicht , weil uns Gott nicht wollen würde"
GPT2-large,46,Die ganze Mühe war vergebens . .
GPT2-large,46,"Nicht jeder ist , wie ich es werde ,"
GPT2-large,46,"Der ganze Weg von Gott zum Werde ,"
GPT2-large,46,"Ein loser Engel heut , und morgen"
GPT2-large,47,Und doch nicht minder schreitet er mit oben
GPT2-large,47,Die eine Hand verlangend über des becken
GPT2-large,47,Die andre Hand erhebend zum Gebet !
GPT2-large,47,"O Herr , wie soll ich diese Unrast deuten ,"
GPT2-large,47,Die andre Hand verlangend zum gesetz
GPT2-large,47,"O Herr , wie soll ich diese Unrast brechen"
GPT2-large,47,Das andre ist des Schmerzes eigne Qual ;
GPT2-large,47,"O Herr , wie soll ich meine Seele brechen"
GPT2-large,47,Das andre ist des Schmerzes eigne Qual .
GPT2-large,47,"Als du , nach langem , bangen Hoffen , endlich"
GPT2-large,48,"Wer immer da nach Wahrheit ringt , wird weinen"
GPT2-large,48,warum weil er weil er sie Der wird niemals
GPT2-large,48,"Die Wahrheit findet , die Der suchen mußte ,"
GPT2-large,48,Die andre Antwort auch . Ist Alles eitel ?
GPT2-large,48,"Wer einmal aber , wie ich , mit solcher frage"
GPT2-large,48,Musik gehört und dann die Oper genossen
