,author,text,endings,rhyme_scheme_siamese,rhyme_prob
10,GPT3_deutsch_davinci_2_09.txt,"['das gedicht ist fertig', 'doch es will nicht reimen', 'ich weiß auch nicht warum', 'es ist ein trauriges gedicht', 'vielleicht liegt es daran', 'refrain', 'ach wär doch alles anders', 'strophe', 'ist doch kein grund zu leiden', 'oder muss denn immer alles so sein', 'könnten wir nicht einfach mal glücklich sein', 'strophe', 'ach nein sag mir nichts von freude', 'alles was mir bleibt ist schmerz und leid', 'wieder diese tränen in meinem gesicht']","['fertig', 'reimen', 'warum', 'gedicht', 'daran', 'refrain', 'anders', 'strophe', 'leiden', 'sein', 'sein', 'strophe', 'freude', 'leid', 'gesicht']","['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'b', 'f', 'f', 'h', 'h', 'i', 'd']",0.6
11,GPT3_deutsch_davinci_2_09.txt,"['die blumen blühen', 'und die bäume grünen', 'und das herz voll freude', 'das ist mein wunsch']","['blühen', 'grünen', 'freude', 'wunsch']","['a', 'b', 'c', 'd']",1.0
12,GPT3_deutsch_davinci_2_09.txt,"['die blumen blühen', 'die vögel singen', 'alles ist so fröhlich', 'wie es nur sein kann', 'im frühling und im sommer', 'ist die welt einfach schön']","['blühen', 'singen', 'fröhlich', 'kann', 'sommer', 'schön']","['a', 'b', 'c', 'd', 'e', 'f']",1.0
13,GPT3_deutsch_davinci_2_09.txt,"['der frühling kommt bald', 'das gras wird grüner', 'die bäume blühen auf', 'die vögel singen', 'es wird warmer die sonne scheint länger', 'die natur erwacht zum leben']","['bald', 'grüner', 'auf', 'singen', 'länger', 'leben']","['a', 'b', 'c', 'd', 'b', 'e']",0.8333333333333334
14,GPT3_deutsch_davinci_2_09.txt,"['ich liebe den duft von blumen', 'das licht des mondes und die sterne', 'ich liebe das gefühl von freiheit', 'wenn ich durch die wälder laufe', 'ich liebe es mich selbst zu finden', 'in der stille der nacht']","['blumen', 'sterne', 'freiheit', 'laufe', 'finden', 'nacht']","['a', 'b', 'c', 'd', 'e', 'f']",1.0
15,GPT3_deutsch_davinci_2_09.txt,"['kein mensch ist eine insel', 'er kann nicht allein leben', 'wir brauchen andere menschen', 'denn sie geben uns liebe und halt', 'doch manchmal können wir es gar nicht glauben', 'dass es auf der welt noch so viel güte gibt', 'die sonne scheint für alle gleich', 'doch ihr licht kann die dunkelheit nicht vertreiben', 'egal wo wir hingehen', 'das leid ist uns immer ganz nah', 'doch in den armen der liebe finden wir trost', 'und die kraft weiterzumachen']","['insel', 'leben', 'menschen', 'halt', 'glauben', 'gibt', 'gleich', 'vertreiben', 'hingehen', 'nah', 'trost', 'weiterzumachen']","['a', 'b', 'c', 'd', 'e', 'd', 'f', 'g', 'b', 'h', 'i', 'c']",0.75
16,GPT3_deutsch_davinci_2_09.txt,"['lichter tanzen über die wasseroberfläche', 'reflektiert von den wellen die sie berühren', 'es ist ein magischer anblick', 'einer der in der nacht sofort fasziniert']","['wasseroberfläche', 'berühren', 'anblick', 'fasziniert']","['a', 'b', 'c', 'd']",1.0
17,GPT3_deutsch_davinci_2_09.txt,"['es ist ein mondschein lied', 'das ich singe leise', 'ein sehnsuchts melodie', 'die mich nach hause trägt', 'der weg ist weit und kalt', 'doch unter den sternen', 'scheint alles in ordnung', 'ich spüre die brise im haar', 'und atme die reine nachtluft ein', 'am horizont erblick ich heimat', 'doch muss noch weiter gehen', 'bald werd ich ankommen und', 'in den armen meiner liebsten sein']","['lied', 'leise', 'melodie', 'trägt', 'kalt', 'sternen', 'ordnung', 'haar', 'ein', 'heimat', 'gehen', 'und', 'sein']","['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'i']",0.9230769230769231
18,GPT3_deutsch_davinci_2_09.txt,"['es war einmal da lebte eine frau', 'sie hatte kein glück doch sie tat es trotzdem', 'jeden tag ging sie aus und suchte nach arbeit', 'doch niemand wollte sie nehmen weil sie alt war', 'eines tages sah sie einen mann im wald', 'er war krank und konnte nicht mehr weitergehen', 'sie half ihm auf die beine und brachte ihn zu seinem haus', 'zwei tage später kam er wieder zurück', 'er brachte ihr essen und geld mit', 'nun hatte die alte dame genug zu essen für den rest ihres lebens']","['frau', 'trotzdem', 'arbeit', 'war', 'wald', 'weitergehen', 'haus', 'zurück', 'mit', 'lebens']","['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j']",1.0
19,GPT3_deutsch_davinci_2_09.txt,"['das ist der frühling', 'der erste tag im mai', 'die bäume grünen', 'die vögel singen']","['frühling', 'mai', 'grünen', 'singen']","['a', 'b', 'c', 'd']",1.0
20,GPT3_deutsch_davinci_2_09.txt,"['es ist ein feuer in meinem herzen', 'das niemals erlischt', 'es brennt für die liebe', 'für freundschaft und geborgenheit', 'es gibt mir kraft in schweren zeiten', 'halt in der einsamkeit', 'dieses feuer wird mich begleiten', 'bis ich am ende meines weges angekommen bin']","['herzen', 'erlischt', 'liebe', 'geborgenheit', 'zeiten', 'einsamkeit', 'begleiten', 'bin']","['a', 'b', 'c', 'd', 'e', 'd', 'e', 'f']",0.75
21,GPT3_deutsch_davinci_2_09.txt,"['rosmarin und thymian', 'knoblauchzehen und zwiebeln', 'sellerie und lauch', 'möhren und petersilie', 'paprika süß sauer', 'in der pfanne brutzelt es', 'dampf aufsteigt zum himmel', 'ich rühre um im topf', 'bald ist das abendessen fertig']","['thymian', 'zwiebeln', 'lauch', 'petersilie', 'sauer', 'es', 'himmel', 'topf', 'fertig']","['a', 'b', 'c', 'd', 'e', 'e', 'f', 'g', 'h']",0.8888888888888888
22,GPT3_deutsch_davinci_2_09.txt,"['mondschein am meer', 'die sterne leuchten hell', 'am horizont die wellen rollen', 'einsam wandre ich am strand', 'bin traurig und allein', 'doch dann seh ich den mondschein', 'und alles ist wieder gut']","['meer', 'hell', 'rollen', 'strand', 'allein', 'mondschein', 'gut']","['a', 'b', 'c', 'd', 'e', 'e', 'f']",0.8571428571428571
23,GPT3_deutsch_davinci_2_09.txt,"['mein herz ist voller liebe', 'ich denke an dich jeden tag', 'ich vermisse dich so sehr', 'dass es weh tut', 'aber ich weiß dass wir uns bald wiedersehen', 'und bis dahin träume ich von dir']","['liebe', 'tag', 'sehr', 'tut', 'wiedersehen', 'dir']","['a', 'b', 'c', 'd', 'e', 'c']",0.8333333333333334
24,GPT3_deutsch_davinci_2_09.txt,"['ich liebe dich mein süßer schatz', 'ohne dich ist alles nur halb so schön', 'als ich dich das erste mal sah', 'wusste ich sofort du bist derjenige für mich', 'du hast mir gezeigt was wahre liebe ist', 'und dafür werde ich dir ewig dankbar sein']","['schatz', 'schön', 'sah', 'mich', 'ist', 'sein']","['a', 'b', 'c', 'd', 'd', 'b']",0.6666666666666666
25,GPT3_deutsch_davinci_2_09.txt,"['komm lieber mai und mache', 'die bäume wieder grün', 'bring die sonne wieder her', 'damit die blumen blüh n']","['mache', 'grün', 'her', 'n']","['a', 'b', 'c', 'b']",0.75
26,GPT3_deutsch_davinci_2_09.txt,"['ein baum im wind', 'ein blatt im sturm', 'ein vogel in der nacht', 'ohne laut und doch so laut']","['wind', 'sturm', 'nacht', 'laut']","['a', 'b', 'c', 'd']",1.0
27,GPT3_deutsch_davinci_2_09.txt,"['es ist ein dunkler stürmischer tag', 'keine sonne kein licht', 'nur regen und sturmwind', 'doch in meinem herzen brennt noch ein kleines licht', 'ein licht der hoffnung und des glaubens', 'das mich durch die dunkelheit leitet bis ich wieder im licht stehe']","['tag', 'licht', 'sturmwind', 'licht', 'glaubens', 'stehe']","['a', 'b', 'c', 'b', 'd', 'e']",0.8333333333333334
28,GPT3_deutsch_davinci_2_09.txt,"['lichter tanzen über die straße', 'sternenglanz auf dächern weit und breit', 'eine stadt in festtagsstimmung', 'heute ist heiligabend']","['straße', 'breit', 'festtagsstimmung', 'heiligabend']","['a', 'b', 'c', 'd']",1.0
29,GPT3_deutsch_davinci_2_09.txt,"['was ist das leben', 'wenn nicht ein kampf', 'ein ständiges auf und ab', 'mal steht man oben', 'mal unten', 'doch kämpfen muss man', 'um zu gewinnen', 'denn nur wer kämpft', 'hat eine chance zu siegen']","['leben', 'kampf', 'ab', 'oben', 'unten', 'man', 'gewinnen', 'kämpft', 'siegen']","['a', 'b', 'c', 'd', 'e', 'c', 'f', 'g', 'a']",0.7777777777777778
30,GPT3_deutsch_davinci_2_09.txt,"['mein herz ist voller liebe', 'für dich und für mich', 'ich liebe dich von ganzem herzen', 'und ich weiß du liebst mich auch']","['liebe', 'mich', 'herzen', 'auch']","['a', 'b', 'c', 'b']",0.75
31,GPT3_deutsch_davinci_2_09.txt,"['bunte blätter fallen vom baum', 'tanzend im wind ein letztes mal', 'sie verweilen am boden nur kurz', 'bevor sie von der erde verschwinden', 'nur noch einmal sehen wir sie hier', 'ehe sie für immer gehen']","['baum', 'mal', 'kurz', 'verschwinden', 'hier', 'gehen']","['a', 'b', 'c', 'd', 'e', 'f']",1.0
32,GPT3_deutsch_davinci_2_09.txt,"['ich denke oft an dich', 'wenn ich alleine bin', 'du bist der einzige mensch', 'den ich jemals geliebt habe', 'ohne dich ist mein leben leer', 'du fehlst mir so sehr']","['dich', 'bin', 'mensch', 'habe', 'leer', 'sehr']","['a', 'b', 'a', 'c', 'd', 'd']",0.6666666666666666
33,GPT3_deutsch_davinci_2_09.txt,"['die sonne scheint', 'das gras ist grün', 'es ist ein wunderschöner tag', 'ich bin so froh dass ich lebe']","['scheint', 'grün', 'tag', 'lebe']","['a', 'b', 'c', 'd']",1.0
34,GPT3_deutsch_davinci_2_09.txt,"['nachtgedanken', 'es ist still in der nacht', 'und ich denke an dich', 'an dein gesicht dein lächeln', 'an die liebe in deinen augen', 'ich denke an uns beide', 'wie wir zusammen sind', 'und ich weiß es gibt kein größeres glück']","['nachtgedanken', 'nacht', 'dich', 'lächeln', 'augen', 'beide', 'sind', 'glück']","['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h']",1.0
35,GPT3_deutsch_davinci_2_09.txt,"['das leben ist wie ein blatt papier', 'das uns durch die hände gleitet', 'es ist zerknittert und vernarbt', 'aber irgendwann kommt der moment', 'in dem es sich entfaltet und fliegt']","['papier', 'gleitet', 'vernarbt', 'moment', 'fliegt']","['a', 'b', 'c', 'd', 'd']",0.8
36,GPT3_deutsch_davinci_2_09.txt,"['einmal war ich glücklich', 'doch das ist lange her', 'ich weiß nicht mehr wie es sich anfühlt', 'denn ich bin immer so verwirrt']","['glücklich', 'her', 'anfühlt', 'verwirrt']","['a', 'b', 'c', 'd']",1.0
37,GPT3_deutsch_davinci_2_09.txt,"['die blätter fallen von den bäumen', 'als würde der herbst sie vermissen', 'sie tanzen in der luft', 'bis sie sanft auf dem boden landen', 'es ist als würden sie lachen', 'während die winde durch sie spielen']","['bäumen', 'vermissen', 'luft', 'landen', 'lachen', 'spielen']","['a', 'b', 'c', 'd', 'e', 'f']",1.0
38,GPT3_deutsch_davinci_2_09.txt,"['wenn ich ein buch in die hand nehme', 'bin ich in einer anderen welt', 'die geschichte spielt sich vor meinem inneren auge ab', 'und ich bin mittendrin statt nur dabei', 'ich tauche ein in fremde länder und erlebe aufregende abenteuer', 'ohne mich von der stelle zu rühren', 'mit jedem umblättern wird die spannung größer', 'bis ich das buch schließlich mit klopfendem herzen beende']","['nehme', 'welt', 'ab', 'dabei', 'abenteuer', 'rühren', 'größer', 'beende']","['a', 'b', 'c', 'd', 'e', 'f', 'e', 'g']",0.875
39,GPT3_deutsch_davinci_2_09.txt,"['der wind bläst durch die bäume', 'das laub raschelt und fällt', 'die blätter tanzen in der luft', 'sie fliegen immer höher', 'bis sie irgendwann fallen', 'und zu boden liegen bleiben']","['bäume', 'fällt', 'luft', 'höher', 'fallen', 'bleiben']","['a', 'b', 'c', 'd', 'e', 'f']",1.0
40,GPT3_deutsch_davinci_2_09.txt,"['liebe ist', 'liebe ist nicht nur ein gefühl', 'es ist viel mehr als das', 'liebe ist die kraft die uns immer weiter bringt', 'auch wenn es manchmal schwer fällt', 'sie gibt uns hoffnung und mut', 'wenn wir eigentlich gar keine kraft mehr haben', 'liebe bedeutet auch vertrauen und verständnis', 'lobend oder tadelnd', 'man muss sich blind vertrauen können und auch mal den anderen verstehen können selbst wenn er einen vielleicht gerade enttäuscht hat', 'liebesgedichte sind schön und romantisch aber die wahre liebe zeigst du in jedem moment des alltags']","['ist', 'gefühl', 'das', 'bringt', 'fällt', 'mut', 'haben', 'verständnis', 'tadelnd', 'hat', 'alltags']","['a', 'b', 'c', 'd', 'e', 'a', 'f', 'g', 'h', 'i', 'g']",0.8181818181818182
41,GPT3_deutsch_davinci_2_09.txt,"['schön ist es hier zu stehen', 'inmitten von bäumen und blumen', 'wolken ziehen leise vorbei', 'und die vögel singen klar und laut', 'es duftet nach sommer und ich fühle mich frei', 'ich bin froh dass ich diesen moment erleben darf']","['stehen', 'blumen', 'vorbei', 'laut', 'frei', 'darf']","['a', 'a', 'b', 'c', 'b', 'd']",0.6666666666666666
42,GPT3_deutsch_davinci_2_09.txt,"['die nacht ist ruhig', 'die sterne funkeln', 'ich denke an dich', 'mein süßer schatz', 'du bist so weit weg ich vermisse dich so sehr', 'doch ich weiß dass unsere liebe stark ist', 'und bald sind wir wieder vereint', 'bis dahin träume ich von dir mein engel']","['ruhig', 'funkeln', 'dich', 'schatz', 'sehr', 'ist', 'vereint', 'engel']","['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h']",1.0
43,GPT3_deutsch_davinci_2_09.txt,"['der duft des frühlings weht in die nase', 'das licht der sonne kitzelt auf der haut', 'ein lauschiger tag zum spazierengehen', 'mit jedem schritt ein blütenmeer']","['nase', 'haut', 'spazierengehen', 'blütenmeer']","['a', 'b', 'c', 'd']",1.0
44,GPT3_deutsch_davinci_2_09.txt,"['die nacht ist ruhig', 'das haus ist leer', 'ich sitze allein am tisch', 'draußen ist es kalt']","['ruhig', 'leer', 'tisch', 'kalt']","['a', 'b', 'c', 'd']",1.0
45,GPT3_deutsch_davinci_2_09.txt,"['die sonne scheint', 'in meinem herzen ist es warm', 'ich fühle mich geborgen und geliebt', 'und weiß dass alles gut wird']","['scheint', 'warm', 'geliebt', 'wird']","['a', 'b', 'c', 'd']",1.0
46,GPT3_deutsch_davinci_2_09.txt,"['die nacht ist ruhig und still', 'die sterne leuchten am himmel', 'ich denke an dich und bin froh', 'dass ich dich hab', 'in meinem herzen bist du jetzt', 'bei mir für immer']","['still', 'himmel', 'froh', 'hab', 'jetzt', 'immer']","['a', 'b', 'c', 'd', 'e', 'f']",1.0
47,GPT3_deutsch_davinci_2_09.txt,"['alles was du brauchst ist liebe', 'das ist alles was ich weiß', 'liebe ist alles was zählt', 'ohne sie bist du nichts']","['liebe', 'weiß', 'zählt', 'nichts']","['a', 'b', 'c', 'd']",1.0
48,GPT3_deutsch_davinci_2_09.txt,"['die nacht ist dunkel und still', 'doch in meinem herzen brennt ein feuer', 'ich denke an dich mein liebling', 'und meine sehnsucht wird immer größer', 'in gedanken sehe ich dein gesicht', 'deine augen die mich so verzaubern', 'ich kann nicht schlafen in dieser nacht', 'weil ich nur an dich denken kann']","['still', 'feuer', 'liebling', 'größer', 'gesicht', 'verzaubern', 'nacht', 'kann']","['a', 'b', 'c', 'b', 'd', 'e', 'd', 'f']",0.75
49,GPT3_deutsch_davinci_2_09.txt,"['ich bin nur ein kleiner käfer', 'doch ich will leben', 'ich fühle mich alleine und verlassen', 'dabei suche ich doch nur ein bisschen liebe']","['käfer', 'leben', 'verlassen', 'liebe']","['a', 'b', 'c', 'd']",1.0
50,GPT3_deutsch_davinci_2_09.txt,"['ich liebe dich mein schatz', 'mehr als du ahnen kannst', 'in jedem augenblick mit dir', 'ist es für mich ein fest', 'wir sind zwei herzen die zueinander gehören', 'unsere liebe ist echt und wahrhaftig', 'sie wird uns leiten für alle zeit', 'wie ein strahlender stern am firmament']","['schatz', 'kannst', 'dir', 'fest', 'gehören', 'wahrhaftig', 'zeit', 'firmament']","['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h']",1.0
51,GPT3_deutsch_davinci_2_09.txt,"['die blumen blühen und die vögel singen', 'die sonne scheint und der himmel ist blau', 'es ist ein schöner tag um zu leben']","['singen', 'blau', 'leben']","['a', 'b', 'c']",1.0
52,GPT3_deutsch_davinci_2_09.txt,"['heute ist ein schöner tag', 'der himmel ist blau und klar', 'ich gehe spazieren in den park', 'die bäume sind grün und die blumen bunt', 'es gibt so viel zu sehen', 'ich freue mich über jedes kleine ding']","['tag', 'klar', 'park', 'bunt', 'sehen', 'ding']","['a', 'b', 'c', 'd', 'e', 'f']",1.0
53,GPT3_deutsch_davinci_2_09.txt,"['die nacht ist still und dunkel', 'die sterne leuchten hell', 'ich denke an dich mein liebling', 'und wünsche mir du wärst hier']","['dunkel', 'hell', 'liebling', 'hier']","['a', 'b', 'c', 'd']",1.0
54,GPT3_deutsch_davinci_2_09.txt,"['alles was du brauchst ist liebe', 'das ist alles was ich weiß', 'und ob es stimmt oder nicht ich bin froh darüber', 'denn sonst hätte ich nie den himmel gesehen', 'oder meine engel die auf mich warten']","['liebe', 'weiß', 'darüber', 'gesehen', 'warten']","['a', 'b', 'c', 'd', 'e']",1.0
55,GPT3_deutsch_davinci_2_09.txt,"['heimatland', 'ich liebe mein heimatland ich hab es so gern', 'es ist das schönste land auf erden weit und breit', 'die grünen wiesen und feldern die bäume und flüsse', 'alles hier ist so herrlich und wunderbar groß', 'die menschen sind nett undfreundlich zu mir', 'alle hier sind froh miteinander zu sein']","['heimatland', 'gern', 'breit', 'flüsse', 'groß', 'mir', 'sein']","['a', 'b', 'c', 'd', 'e', 'f', 'g']",1.0
56,GPT3_deutsch_davinci_2_09.txt,"['wer nie sein herz an einen menschen verlor', 'wer nie die sehnsucht spürte bis zum schluss', 'der kennt das glück nicht wie ich es kenne', 'doch auch wer liebte und doch verlor', 'hat mehr glück gehabt als jener mensch']","['verlor', 'schluss', 'kenne', 'verlor', 'mensch']","['a', 'a', 'b', 'a', 'c']",0.6
57,GPT3_deutsch_davinci_2_09.txt,"['die schnecke', 'unter dem grünen blatt', 'da kriecht eine schnecke', 'sie ist so langsam sie ist so träge', 'sie kommt nicht vom fleck', 'ihr glieder sind ganz gelenkig', 'und doch kann sie nicht rennen', 'wenn man sie anschiebt oder anstößt', 'dann rollt sie weiter fort']","['schnecke', 'blatt', 'schnecke', 'träge', 'fleck', 'gelenkig', 'rennen', 'anstößt', 'fort']","['a', 'b', 'a', 'a', 'c', 'd', 'd', 'e', 'f']",0.6666666666666666
58,GPT3_deutsch_davinci_2_09.txt,"['es ist nicht leicht', 'dich zu vergessen', 'und es fällt mir schwer', 'nicht mehr an dich zu denken', 'ich habe versucht', 'mich abzulenken', 'doch wenn ich die augen schließe', 'sehe ich dein gesicht', 'it s not easy to forget you', 'and it s hard for me not to think of you anymore i tried to distract myself but when i close my eyes all i see is your face']","['leicht', 'vergessen', 'schwer', 'denken', 'versucht', 'abzulenken', 'schließe', 'gesicht', 'you', 'face']","['a', 'b', 'c', 'd', 'a', 'd', 'e', 'a', 'f', 'g']",0.7
59,GPT3_deutsch_davinci_2_09.txt,"['das ende ist nah', 'ich spüre es in mir', 'es gibt kein zurück mehr', 'nur noch ein letzter schritt', 'und dann ist es vorbei', 'alles was ich kannte']","['nah', 'mir', 'mehr', 'schritt', 'vorbei', 'kannte']","['a', 'b', 'b', 'c', 'd', 'e']",0.8333333333333334
60,GPT3_deutsch_davinci_2_09.txt,"['heute ist ein schöner tag', 'das wetter ist so herrlich', 'ich will mit freude tanzen und singen', 'denn ich liebe das leben']","['tag', 'herrlich', 'singen', 'leben']","['a', 'b', 'c', 'd']",1.0
61,GPT3_deutsch_davinci_2_09.txt,"['ich liebe die natur', 'und all ihre schönheit', 'die bäume die blumen', 'alles was sie mir geben', 'ihre stimme ihr duft', 'berühren meine seele', 'in der natur fühl ich mich frei', 'zuhause']","['natur', 'schönheit', 'blumen', 'geben', 'duft', 'seele', 'frei', 'zuhause']","['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h']",1.0
62,GPT3_deutsch_davinci_2_09.txt,"['ich hab keine lust ich will nicht mehr', 'alles ist doof und blöd hier', 'ich hasse diesen ort ich hasse alles hier', 'warum kann ich nicht einfach sterben']","['mehr', 'hier', 'hier', 'sterben']","['a', 'a', 'a', 'b']",0.5
63,GPT3_deutsch_davinci_2_09.txt,"['das haus steht einsam', 'in der nacht', 'es ist so still', 'so kalt']","['einsam', 'nacht', 'still', 'kalt']","['a', 'b', 'c', 'd']",1.0
64,GPT3_deutsch_davinci_2_09.txt,"['der herbst ist da', 'die blätter fallen', 'es ist zeit für kürbisse', 'zu schnitzen und zu carven', 'wir feiern halloween', 'mit kostümen und süßigkeiten', 'das fest der geister und skelette', 'eine nacht voller spaß']","['da', 'fallen', 'kürbisse', 'carven', 'halloween', 'süßigkeiten', 'skelette', 'spaß']","['a', 'b', 'c', 'd', 'e', 'f', 'c', 'g']",0.875
65,GPT3_deutsch_davinci_2_09.txt,"['ich bin ein teil der nacht', 'die mich umfängt mit ihrer macht', 'ich bin die dunkelheit', 'die in dir lauert und sucht', 'ich bin das mysterium', 'das dich erfüllen kann mit angst', 'doch keine sorge denn ich bin auch die freude', 'die liebe und alles gute']","['nacht', 'macht', 'dunkelheit', 'sucht', 'mysterium', 'angst', 'freude', 'gute']","['a', 'a', 'b', 'a', 'c', 'd', 'e', 'e']",0.625
66,GPT3_deutsch_davinci_2_09.txt,"['die augen schauen in die ferne', 'suchen was sie nicht mehr finden', 'der verstand ist leer und doch so voll', 'mit bildern die man nicht mehr will', 'die seele weint um das was war', 'und doch ist sie so unendlich stolz']","['ferne', 'finden', 'voll', 'will', 'war', 'stolz']","['a', 'b', 'c', 'c', 'd', 'c']",0.6666666666666666
67,GPT3_deutsch_davinci_2_09.txt,"['sommerabend in berlin', 'wir sitzen im biergarten', 'der tag war heiß und lang', 'wir sind müde doch die stadt vibriert noch', 'die lichter funkeln', 'der kleine spielt mit seinem ball', 'wir beobachten ihn und träumen von der zukunft', 'alles ist möglich in dieser stadt', 'sie nimmt uns auf und gibt uns kraft', 'wir leben im moment und genießen die zeit']","['berlin', 'biergarten', 'lang', 'noch', 'funkeln', 'ball', 'zukunft', 'stadt', 'kraft', 'zeit']","['a', 'b', 'c', 'd', 'e', 'f', 'g', 'g', 'g', 'h']",0.8
68,GPT3_deutsch_davinci_2_09.txt,"['die sonne scheint', 'der himmel ist blau', 'ich fühle mich gut', 'denn ich liebe dich']","['scheint', 'blau', 'gut', 'dich']","['a', 'b', 'c', 'd']",1.0
69,GPT3_deutsch_davinci_2_09.txt,"['wenn ich ein buch in die hand nehme', 'dann ist es als würde ich in eine andere welt reisen', 'in die welt der abenteuer der fantasie und der magie', 'ich kann mich in die geschichte hineinversetzen', 'und mit den figuren leiden und lachen', 'bücher sind meine freunde meine begleiter sie sind immer für mich da']","['nehme', 'reisen', 'magie', 'hineinversetzen', 'lachen', 'da']","['a', 'b', 'a', 'c', 'd', 'e']",0.8333333333333334
70,GPT3_deutsch_davinci_2_09.txt,"['morgenrot', 'du bleicher mond', 'entrückt von dieser welt', 'fern sind die gestirne', 'wie aus einer anderen zeit', 'allein in der stille', 'nur das leise rauschen des windes']","['morgenrot', 'mond', 'welt', 'gestirne', 'zeit', 'stille', 'windes']","['a', 'b', 'c', 'b', 'c', 'd', 'e']",0.7142857142857143
71,GPT3_deutsch_davinci_2_09.txt,"['es ist nacht stille herrscht in der straße', 'nur das rauschen des windes ist zu hören', 'die bäume bewegen sich sanft im wind', 'ihre blätter rauschen leise', 'ein stern leuchtet am himmel', 'dann noch einer und noch einer', 'sie funkeln und twinklen am dunklen firmament']","['straße', 'hören', 'wind', 'leise', 'himmel', 'einer', 'firmament']","['a', 'b', 'c', 'd', 'e', 'f', 'g']",1.0
72,GPT3_deutsch_davinci_2_09.txt,"['ja ich liebe dich', 'ich liebe dich mehr als alles andere', 'ich liebe deine stimme wenn sie sanft ist', 'ich liebe es wenn du mich berührst', 'alles an dir ist perfekt für mich']","['dich', 'andere', 'ist', 'berührst', 'mich']","['a', 'b', 'c', 'c', 'a']",0.6
